case_id,ticker,company_name,current_status,packet_path,json_packet_path,completeness_score,missing_field_count,recommended_status,recommended_next_action,prior_signal_hit_status,prior_signal_adjudication_status,true_prior_signal_rows,false_positive_rows,priority
RHC-0011-ACQUIRED-CLCD,CLCD,"CoLucid Pharmaceuticals, Inc.",CANDIDATE,data/historical_cases/case_packets/RHC-0011-ACQUIRED-CLCD_CLCD.md,data/historical_cases/case_packets/RHC-0011-ACQUIRED-CLCD_CLCD.json,5,7,NEEDS_MANUAL_RESEARCH,"Check EDGAR manually for tender-offer, 6-K, proxy, or foreign-issuer transaction filings before extracting fields.",NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,0,0,HIGH
RHC-0012-ACQUIRED-DMTX,DMTX,"Dimension Therapeutics, Inc.",CANDIDATE,data/historical_cases/case_packets/RHC-0012-ACQUIRED-DMTX_DMTX.md,data/historical_cases/case_packets/RHC-0012-ACQUIRED-DMTX_DMTX.json,5,7,NEEDS_MANUAL_RESEARCH,"Check EDGAR manually for tender-offer, 6-K, proxy, or foreign-issuer transaction filings before extracting fields.",CONFIRMED_HIT,TRUE_PUBLIC_PRIOR_SIGNAL,4,0,HIGH
RHC-0013-ACQUIRED-KITE,KITE,"Kite Pharma, Inc.",CANDIDATE,data/historical_cases/case_packets/RHC-0013-ACQUIRED-KITE_KITE.md,data/historical_cases/case_packets/RHC-0013-ACQUIRED-KITE_KITE.json,80,2,PARTIAL_READY,Promote only after primary-source evidence supports the PARTIAL checklist.,,NOT_ADJUDICATED,0,0,HIGH
RHC-0014-ACQUIRED-AVXS,AVXS,"AveXis, Inc.",CANDIDATE,data/historical_cases/case_packets/RHC-0014-ACQUIRED-AVXS_AVXS.md,data/historical_cases/case_packets/RHC-0014-ACQUIRED-AVXS_AVXS.json,5,7,NEEDS_MANUAL_RESEARCH,"Check EDGAR manually for tender-offer, 6-K, proxy, or foreign-issuer transaction filings before extracting fields.",NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,0,0,HIGH
RHC-0015-ACQUIRED-BIVV,BIVV,Bioverativ Inc.,CANDIDATE,data/historical_cases/case_packets/RHC-0015-ACQUIRED-BIVV_BIVV.md,data/historical_cases/case_packets/RHC-0015-ACQUIRED-BIVV_BIVV.json,80,2,PARTIAL_READY,Promote only after primary-source evidence supports the PARTIAL checklist.,,NOT_ADJUDICATED,0,0,HIGH
RHC-0016-ACQUIRED-CASC,CASC,"Cascadian Therapeutics, Inc.",CANDIDATE,data/historical_cases/case_packets/RHC-0016-ACQUIRED-CASC_CASC.md,data/historical_cases/case_packets/RHC-0016-ACQUIRED-CASC_CASC.json,5,7,NEEDS_MANUAL_RESEARCH,"Check EDGAR manually for tender-offer, 6-K, proxy, or foreign-issuer transaction filings before extracting fields.",NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,0,0,HIGH
RHC-0017-ACQUIRED-JUNO,JUNO,"Juno Therapeutics, Inc.",CANDIDATE,data/historical_cases/case_packets/RHC-0017-ACQUIRED-JUNO_JUNO.md,data/historical_cases/case_packets/RHC-0017-ACQUIRED-JUNO_JUNO.json,80,2,PARTIAL_READY,Promote only after primary-source evidence supports the PARTIAL checklist.,,NOT_ADJUDICATED,0,0,HIGH
RHC-0018-ACQUIRED-RXDX,RXDX,"Ignyta, Inc.",CANDIDATE,data/historical_cases/case_packets/RHC-0018-ACQUIRED-RXDX_RXDX.md,data/historical_cases/case_packets/RHC-0018-ACQUIRED-RXDX_RXDX.json,5,7,NEEDS_MANUAL_RESEARCH,"Check EDGAR manually for tender-offer, 6-K, proxy, or foreign-issuer transaction filings before extracting fields.",NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,0,0,HIGH
RHC-0019-ACQUIRED-ALDR,ALDR,Alder BioPharmaceuticals,CANDIDATE,data/historical_cases/case_packets/RHC-0019-ACQUIRED-ALDR_ALDR.md,data/historical_cases/case_packets/RHC-0019-ACQUIRED-ALDR_ALDR.json,5,7,PARTIAL_READY,"Open merger 8-K first, extract acquirer and consideration, then confirm proxy background section.",NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,0,0,HIGH
RHC-0020-ACQUIRED-ARRY,ARRY,Array BioPharma Inc.,CANDIDATE,data/historical_cases/case_packets/RHC-0020-ACQUIRED-ARRY_ARRY.md,data/historical_cases/case_packets/RHC-0020-ACQUIRED-ARRY_ARRY.json,5,7,PARTIAL_READY,"Open merger 8-K first, extract acquirer and consideration, then confirm proxy background section.",CONFIRMED_NO_HIT,ASSET_SPECIFIC_RIGHTS_ONLY,0,2,HIGH
RHC-0021-ACQUIRED-CMTA,CMTA,Clementia Pharmaceuticals Inc.,CANDIDATE,data/historical_cases/case_packets/RHC-0021-ACQUIRED-CMTA_CMTA.md,data/historical_cases/case_packets/RHC-0021-ACQUIRED-CMTA_CMTA.json,5,7,NEEDS_MANUAL_RESEARCH,"Check EDGAR manually for tender-offer, 6-K, proxy, or foreign-issuer transaction filings before extracting fields.",NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,0,0,HIGH
RHC-0022-ACQUIRED-LOXO,LOXO,"Loxo Oncology, Inc.",CANDIDATE,data/historical_cases/case_packets/RHC-0022-ACQUIRED-LOXO_LOXO.md,data/historical_cases/case_packets/RHC-0022-ACQUIRED-LOXO_LOXO.json,5,7,PARTIAL_READY,"Open merger 8-K first, extract acquirer and consideration, then confirm proxy background section.",NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,0,0,HIGH
RHC-0023-ACQUIRED-NITE,NITE,Nightstar Therapeutics plc,CANDIDATE,data/historical_cases/case_packets/RHC-0023-ACQUIRED-NITE_NITE.md,data/historical_cases/case_packets/RHC-0023-ACQUIRED-NITE_NITE.json,5,7,NEEDS_MANUAL_RESEARCH,"Check EDGAR manually for tender-offer, 6-K, proxy, or foreign-issuer transaction filings before extracting fields.",NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,0,0,HIGH
RHC-0024-ACQUIRED-ONCE,ONCE,"Spark Therapeutics, Inc.",CANDIDATE,data/historical_cases/case_packets/RHC-0024-ACQUIRED-ONCE_ONCE.md,data/historical_cases/case_packets/RHC-0024-ACQUIRED-ONCE_ONCE.json,5,7,PARTIAL_READY,"Open merger 8-K first, extract acquirer and consideration, then confirm proxy background section.",NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,0,0,HIGH
RHC-0025-ACQUIRED-TSRO,TSRO,"TESARO, Inc.",CANDIDATE,data/historical_cases/case_packets/RHC-0025-ACQUIRED-TSRO_TSRO.md,data/historical_cases/case_packets/RHC-0025-ACQUIRED-TSRO_TSRO.json,40,5,PARTIAL_READY,Run acquisition_background_extractor.py or manually capture proxy/Schedule 14D-9 background section.,,TRUE_PUBLIC_PRIOR_SIGNAL,1,0,HIGH
RHC-0026-ACQUIRED-ACHN,ACHN,Achillion Pharmaceuticals,CANDIDATE,data/historical_cases/case_packets/RHC-0026-ACQUIRED-ACHN_ACHN.md,data/historical_cases/case_packets/RHC-0026-ACQUIRED-ACHN_ACHN.json,20,6,KEEP_CANDIDATE,"Open primary acquisition evidence, then run date and pre-announcement signal workflows.",,NOT_ADJUDICATED,0,0,HIGH
RHC-0027-ACQUIRED-BOLD,BOLD,"Audentes Therapeutics, Inc.",CANDIDATE,data/historical_cases/case_packets/RHC-0027-ACQUIRED-BOLD_BOLD.md,data/historical_cases/case_packets/RHC-0027-ACQUIRED-BOLD_BOLD.json,20,6,KEEP_CANDIDATE,"Open primary acquisition evidence, then run date and pre-announcement signal workflows.",,NOT_ADJUDICATED,0,0,HIGH
RHC-0028-ACQUIRED-DERM,DERM,Dermira,CANDIDATE,data/historical_cases/case_packets/RHC-0028-ACQUIRED-DERM_DERM.md,data/historical_cases/case_packets/RHC-0028-ACQUIRED-DERM_DERM.json,20,6,KEEP_CANDIDATE,"Open primary acquisition evidence, then run date and pre-announcement signal workflows.",,NOT_ADJUDICATED,0,0,HIGH
RHC-0029-ACQUIRED-FTSV,FTSV,"Forty Seven, Inc.",CANDIDATE,data/historical_cases/case_packets/RHC-0029-ACQUIRED-FTSV_FTSV.md,data/historical_cases/case_packets/RHC-0029-ACQUIRED-FTSV_FTSV.json,20,6,KEEP_CANDIDATE,"Open primary acquisition evidence, then run date and pre-announcement signal workflows.",,PRIVATE_BACKGROUND_ONLY,0,1,HIGH
RHC-0030-ACQUIRED-MNTA,MNTA,"Momenta Pharmaceuticals, Inc.",CANDIDATE,data/historical_cases/case_packets/RHC-0030-ACQUIRED-MNTA_MNTA.md,data/historical_cases/case_packets/RHC-0030-ACQUIRED-MNTA_MNTA.json,20,6,KEEP_CANDIDATE,"Open primary acquisition evidence, then run date and pre-announcement signal workflows.",,NOT_ADJUDICATED,0,0,HIGH
RHC-0031-ACQUIRED-MYOK,MYOK,"MyoKardia, Inc.",CANDIDATE,data/historical_cases/case_packets/RHC-0031-ACQUIRED-MYOK_MYOK.md,data/historical_cases/case_packets/RHC-0031-ACQUIRED-MYOK_MYOK.json,20,6,KEEP_CANDIDATE,"Open primary acquisition evidence, then run date and pre-announcement signal workflows.",,DEAL_ANNOUNCEMENT_BASELINE_CANDIDATE,0,1,HIGH
RHC-0032-ACQUIRED-PGNX,PGNX,Progenics Pharmaceuticals,CANDIDATE,data/historical_cases/case_packets/RHC-0032-ACQUIRED-PGNX_PGNX.md,data/historical_cases/case_packets/RHC-0032-ACQUIRED-PGNX_PGNX.json,20,6,KEEP_CANDIDATE,"Open primary acquisition evidence, then run date and pre-announcement signal workflows.",,NOT_ADJUDICATED,0,0,HIGH
RHC-0033-ACQUIRED-PRNB,PRNB,Principia Biopharma Inc.,CANDIDATE,data/historical_cases/case_packets/RHC-0033-ACQUIRED-PRNB_PRNB.md,data/historical_cases/case_packets/RHC-0033-ACQUIRED-PRNB_PRNB.json,20,6,KEEP_CANDIDATE,"Open primary acquisition evidence, then run date and pre-announcement signal workflows.",,PRIVATE_BACKGROUND_ONLY,0,1,HIGH
RHC-0034-ACQUIRED-PRVL,PRVL,Prevail Therapeutics Inc.,CANDIDATE,data/historical_cases/case_packets/RHC-0034-ACQUIRED-PRVL_PRVL.md,data/historical_cases/case_packets/RHC-0034-ACQUIRED-PRVL_PRVL.json,20,6,KEEP_CANDIDATE,"Open primary acquisition evidence, then run date and pre-announcement signal workflows.",,NOT_ADJUDICATED,0,0,HIGH
RHC-0035-ACQUIRED-ADMS,ADMS,Adamas Pharmaceuticals,CANDIDATE,data/historical_cases/case_packets/RHC-0035-ACQUIRED-ADMS_ADMS.md,data/historical_cases/case_packets/RHC-0035-ACQUIRED-ADMS_ADMS.json,20,6,KEEP_CANDIDATE,"Open primary acquisition evidence, then run date and pre-announcement signal workflows.",,DEAL_ANNOUNCEMENT_BASELINE_CANDIDATE,0,1,HIGH
RHC-0036-ACQUIRED-DOVA,DOVA,Dova Pharmaceuticals,CANDIDATE,data/historical_cases/case_packets/RHC-0036-ACQUIRED-DOVA_DOVA.md,data/historical_cases/case_packets/RHC-0036-ACQUIRED-DOVA_DOVA.json,40,5,PARTIAL_READY,Run acquisition_background_extractor.py or manually capture proxy/Schedule 14D-9 background section.,,NOT_ADJUDICATED,0,0,HIGH
RHC-0037-ACQUIRED-DRNA,DRNA,"Dicerna Pharmaceuticals, Inc.",CANDIDATE,data/historical_cases/case_packets/RHC-0037-ACQUIRED-DRNA_DRNA.md,data/historical_cases/case_packets/RHC-0037-ACQUIRED-DRNA_DRNA.json,20,6,KEEP_CANDIDATE,"Open primary acquisition evidence, then run date and pre-announcement signal workflows.",,NOT_ADJUDICATED,0,0,HIGH
RHC-0038-ACQUIRED-FLXN,FLXN,Flexion Therapeutics,CANDIDATE,data/historical_cases/case_packets/RHC-0038-ACQUIRED-FLXN_FLXN.md,data/historical_cases/case_packets/RHC-0038-ACQUIRED-FLXN_FLXN.json,40,5,PARTIAL_READY,Run acquisition_background_extractor.py or manually capture proxy/Schedule 14D-9 background section.,,NOT_ADJUDICATED,0,0,HIGH
RHC-0039-ACQUIRED-FPRX,FPRX,"Five Prime Therapeutics, Inc.",CANDIDATE,data/historical_cases/case_packets/RHC-0039-ACQUIRED-FPRX_FPRX.md,data/historical_cases/case_packets/RHC-0039-ACQUIRED-FPRX_FPRX.json,20,6,KEEP_CANDIDATE,"Open primary acquisition evidence, then run date and pre-announcement signal workflows.",,NOT_ADJUDICATED,0,0,HIGH
RHC-0040-ACQUIRED-GWPH,GWPH,GW Pharmaceuticals plc,CANDIDATE,data/historical_cases/case_packets/RHC-0040-ACQUIRED-GWPH_GWPH.md,data/historical_cases/case_packets/RHC-0040-ACQUIRED-GWPH_GWPH.json,20,6,KEEP_CANDIDATE,"Open primary acquisition evidence, then run date and pre-announcement signal workflows.",,NOT_ADJUDICATED,0,0,HIGH
RHC-0041-ACQUIRED-PAND,PAND,Pandion Therapeutics,CANDIDATE,data/historical_cases/case_packets/RHC-0041-ACQUIRED-PAND_PAND.md,data/historical_cases/case_packets/RHC-0041-ACQUIRED-PAND_PAND.json,20,6,KEEP_CANDIDATE,"Open primary acquisition evidence, then run date and pre-announcement signal workflows.",,NOT_ADJUDICATED,0,0,HIGH
RHC-0042-ACQUIRED-PTLA,PTLA,Portola Pharmaceuticals,CANDIDATE,data/historical_cases/case_packets/RHC-0042-ACQUIRED-PTLA_PTLA.md,data/historical_cases/case_packets/RHC-0042-ACQUIRED-PTLA_PTLA.json,20,6,KEEP_CANDIDATE,"Open primary acquisition evidence, then run date and pre-announcement signal workflows.",,NOT_ADJUDICATED,0,0,HIGH
RHC-0043-ACQUIRED-TRIL,TRIL,Trillium Therapeutics Inc.,CANDIDATE,data/historical_cases/case_packets/RHC-0043-ACQUIRED-TRIL_TRIL.md,data/historical_cases/case_packets/RHC-0043-ACQUIRED-TRIL_TRIL.json,20,6,KEEP_CANDIDATE,"Open primary acquisition evidence, then run date and pre-announcement signal workflows.",,PRIVATE_BACKGROUND_ONLY,0,1,HIGH
RHC-0044-ACQUIRED-VIE,VIE,"Viela Bio, Inc.",CANDIDATE,data/historical_cases/case_packets/RHC-0044-ACQUIRED-VIE_VIE.md,data/historical_cases/case_packets/RHC-0044-ACQUIRED-VIE_VIE.json,20,6,KEEP_CANDIDATE,"Open primary acquisition evidence, then run date and pre-announcement signal workflows.",,NOT_ADJUDICATED,0,0,HIGH
RHC-0045-ACQUIRED-XLRN,XLRN,Acceleron Pharma Inc.,CANDIDATE,data/historical_cases/case_packets/RHC-0045-ACQUIRED-XLRN_XLRN.md,data/historical_cases/case_packets/RHC-0045-ACQUIRED-XLRN_XLRN.json,20,6,KEEP_CANDIDATE,"Open primary acquisition evidence, then run date and pre-announcement signal workflows.",,ASSET_SPECIFIC_RIGHTS_ONLY,0,1,HIGH
RHC-0046-ACQUIRED-ATRS,ATRS,Antares Pharma,CANDIDATE,data/historical_cases/case_packets/RHC-0046-ACQUIRED-ATRS_ATRS.md,data/historical_cases/case_packets/RHC-0046-ACQUIRED-ATRS_ATRS.json,20,6,KEEP_CANDIDATE,"Open primary acquisition evidence, then run date and pre-announcement signal workflows.",,NOT_ADJUDICATED,0,0,HIGH
RHC-0047-ACQUIRED-AVEO,AVEO,AVEO Oncology,CANDIDATE,data/historical_cases/case_packets/RHC-0047-ACQUIRED-AVEO_AVEO.md,data/historical_cases/case_packets/RHC-0047-ACQUIRED-AVEO_AVEO.json,20,6,KEEP_CANDIDATE,"Open primary acquisition evidence, then run date and pre-announcement signal workflows.",,NOT_ADJUDICATED,0,0,HIGH
RHC-0048-ACQUIRED-BHVN,BHVN,Biohaven Pharmaceutical Holding Company Ltd.,CANDIDATE,data/historical_cases/case_packets/RHC-0048-ACQUIRED-BHVN_BHVN.md,data/historical_cases/case_packets/RHC-0048-ACQUIRED-BHVN_BHVN.json,20,6,KEEP_CANDIDATE,"Open primary acquisition evidence, then run date and pre-announcement signal workflows.",,NOT_ADJUDICATED,0,0,HIGH
RHC-0049-ACQUIRED-CCXI,CCXI,"ChemoCentryx, Inc.",CANDIDATE,data/historical_cases/case_packets/RHC-0049-ACQUIRED-CCXI_CCXI.md,data/historical_cases/case_packets/RHC-0049-ACQUIRED-CCXI_CCXI.json,20,6,KEEP_CANDIDATE,"Open primary acquisition evidence, then run date and pre-announcement signal workflows.",,NOT_ADJUDICATED,0,0,HIGH
RHC-0050-ACQUIRED-CMPI,CMPI,Checkmate Pharmaceuticals,CANDIDATE,data/historical_cases/case_packets/RHC-0050-ACQUIRED-CMPI_CMPI.md,data/historical_cases/case_packets/RHC-0050-ACQUIRED-CMPI_CMPI.json,20,6,KEEP_CANDIDATE,"Open primary acquisition evidence, then run date and pre-announcement signal workflows.",,NOT_ADJUDICATED,0,0,HIGH
