candidate_id,ticker,company_name,category,likely_event_year,source_hint,source_url_if_known,edgar_query,confidence_level,priority,verification_status,reason_for_inclusion,fields_needed_for_partial,notes
CAND-0011-ACTIVIST_13D_NO_DEAL-PAHC,PAHC,Phibro Animal Health Corporation,ACTIVIST_13D_NO_DEAL,2018-2024,EDGAR SC 13D search; WhaleWisdom / 13D Monitor cross-check; source_queries.md Section 1B,https://www.sec.gov/edgar/search/,https://efts.sec.gov/LATEST/search-index?q=PAHC+%22Phibro+Animal+Health+Corporation%22+%22Item+4%22+%22board+representation%22&forms=SC+13D%2CSC+13D%2FA&dateRange=custom&startdt=2018-01-01&enddt=2024-12-31,MED,MED,CANDIDATE,local scanner row indicates SC 13D activity,initial_13d_url|filing_date|activist_filer|item4_text|item4_intent|outcome_check|price_window,Generated from predictions_v12.csv. Candidate only. Do not promote without EDGAR/source_evidence verification.
CAND-0012-ACTIVIST_13D_NO_DEAL-ACLX,ACLX,"Arcellx, Inc.",ACTIVIST_13D_NO_DEAL,2018-2024,EDGAR SC 13D search; WhaleWisdom / 13D Monitor cross-check; source_queries.md Section 1B,https://www.sec.gov/edgar/search/,https://efts.sec.gov/LATEST/search-index?q=ACLX+%22Arcellx%2C+Inc.%22+%22Item+4%22+%22board+representation%22&forms=SC+13D%2CSC+13D%2FA&dateRange=custom&startdt=2018-01-01&enddt=2024-12-31,MED,MED,CANDIDATE,local scanner row indicates SC 13D activity,initial_13d_url|filing_date|activist_filer|item4_text|item4_intent|outcome_check|price_window,Generated from predictions_v12.csv. Candidate only. Do not promote without EDGAR/source_evidence verification.
CAND-0013-ACTIVIST_13D_NO_DEAL-AUPH,AUPH,Aurinia Pharmaceuticals Inc.,ACTIVIST_13D_NO_DEAL,2018-2024,EDGAR SC 13D search; WhaleWisdom / 13D Monitor cross-check; source_queries.md Section 1B,https://www.sec.gov/edgar/search/,https://efts.sec.gov/LATEST/search-index?q=AUPH+%22Aurinia+Pharmaceuticals+Inc.%22+%22Item+4%22+%22board+representation%22&forms=SC+13D%2CSC+13D%2FA&dateRange=custom&startdt=2018-01-01&enddt=2024-12-31,LOW,LOW,CANDIDATE,"AUPH appears in the local biotech scanner universe; row is a category-specific EDGAR search target for ACTIVIST_13D_NO_DEAL, not verified evidence",initial_13d_url|filing_date|activist_filer|item4_text|item4_intent|outcome_check|price_window,Generated from predictions_v12.csv. Candidate only. Do not promote without EDGAR/source_evidence verification.
CAND-0014-SALE_PRESSURE_13D-BMRN,BMRN,BioMarin Pharmaceutical Inc.,SALE_PRESSURE_13D,2018-2024,EDGAR SC 13D Item 4 sale-process phrase search; source_queries.md Section 1B,https://www.sec.gov/edgar/search/,https://efts.sec.gov/LATEST/search-index?q=BMRN+%22BioMarin+Pharmaceutical+Inc.%22+%22Item+4%22+%22sale+of+the+company%22&forms=SC+13D%2CSC+13D%2FA&dateRange=custom&startdt=2018-01-01&enddt=2024-12-31,LOW,LOW,CANDIDATE,"BMRN appears in the local biotech scanner universe; row is a category-specific EDGAR search target for SALE_PRESSURE_13D, not verified evidence",initial_13d_url|filing_date|activist_filer|item4_text|sale_pressure_excerpt|outcome_check|price_window,Generated from predictions_v12.csv. Candidate only. Do not promote without EDGAR/source_evidence verification.
CAND-0015-GOVERNANCE_ONLY_13D-ETNB,ETNB,"89bio, Inc.",GOVERNANCE_ONLY_13D,2018-2024,EDGAR SC 13D Item 4 governance phrase search; item4_parser governance-only calibration queue,https://www.sec.gov/edgar/search/,https://efts.sec.gov/LATEST/search-index?q=ETNB+%2289bio%2C+Inc.%22+%22Item+4%22+%22board+of+directors%22+%22governance%22&forms=SC+13D%2CSC+13D%2FA&dateRange=custom&startdt=2018-01-01&enddt=2024-12-31,LOW,LOW,CANDIDATE,"ETNB appears in the local biotech scanner universe; row is a category-specific EDGAR search target for GOVERNANCE_ONLY_13D, not verified evidence",initial_13d_url|filing_date|activist_filer|item4_text|governance_only_classification|outcome_check,Generated from predictions_v12.csv. Candidate only. Do not promote without EDGAR/source_evidence verification.
CAND-0016-ROFR_ROFN_CASE-FLGT,FLGT,"Fulgent Genetics, Inc.",ROFR_ROFN_CASE,2018-2024,EDGAR 8-K and 10-K ROFR/ROFN search; source_queries.md Section 1C,https://efts.sec.gov/LATEST/search-index,https://efts.sec.gov/LATEST/search-index?q=FLGT+%22Fulgent+Genetics%2C+Inc.%22+%22right+of+first+refusal%22+OR+%22right+of+first+negotiation%22&forms=8-K%2C10-K%2C10-Q&dateRange=custom&startdt=2018-01-01&enddt=2024-12-31,LOW,LOW,CANDIDATE,"FLGT appears in the local biotech scanner universe; row is a category-specific EDGAR search target for ROFR_ROFN_CASE, not verified evidence",agreement_8k_url|exhibit_url|observation_date|rights_holder|rofr_scope|excerpt|outcome_check|price_window,Generated from predictions_v12.csv. Candidate only. Do not promote without EDGAR/source_evidence verification.
CAND-0017-ASSET_SALE-MNKD,MNKD,MannKind Corporation,ASSET_SALE,2018-2024,EDGAR 8-K asset purchase agreement search; source_queries.md Section 1E,https://efts.sec.gov/LATEST/search-index,https://efts.sec.gov/LATEST/search-index?q=MNKD+%22MannKind+Corporation%22+%22asset+purchase+agreement%22+%22program%22&forms=8-K&dateRange=custom&startdt=2018-01-01&enddt=2024-12-31,LOW,LOW,CANDIDATE,"MNKD appears in the local biotech scanner universe; row is a category-specific EDGAR search target for ASSET_SALE, not verified evidence",asset_sale_8k_url|asset_description|buyer|consideration|retained_company_status|price_window,Generated from predictions_v12.csv. Candidate only. Do not promote without EDGAR/source_evidence verification.
CAND-0018-CAPITAL_RAISE_AFTER_PROCESS-NBIX,NBIX,"Neurocrine Biosciences, Inc.",CAPITAL_RAISE_AFTER_PROCESS,2018-2024,EDGAR 8-K/S-3 capital raise search after process language,https://www.sec.gov/edgar/search/,https://efts.sec.gov/LATEST/search-index?q=NBIX+%22Neurocrine+Biosciences%2C+Inc.%22+%22strategic+alternatives%22+%22registered+direct+offering%22&forms=8-K%2CS-3%2C424B5&dateRange=custom&startdt=2018-01-01&enddt=2024-12-31,LOW,LOW,CANDIDATE,"NBIX appears in the local biotech scanner universe; row is a category-specific EDGAR search target for CAPITAL_RAISE_AFTER_PROCESS, not verified evidence",sa_or_process_8k_url|capital_raise_8k_or_s3_url|raise_date|raise_size|outcome_check|price_window,Generated from predictions_v12.csv. Candidate only. Do not promote without EDGAR/source_evidence verification.
CAND-0019-BANKRUPTCY_OR_WIND_DOWN-YMAB,YMAB,"Y-mAbs Therapeutics, Inc.",BANKRUPTCY_OR_WIND_DOWN,2018-2024,EDGAR 8-K wind-down and bankruptcy search; source_queries.md Section 1D,https://efts.sec.gov/LATEST/search-index,https://efts.sec.gov/LATEST/search-index?q=YMAB+%22Y-mAbs+Therapeutics%2C+Inc.%22+%22wind+down%22+OR+%22chapter+11%22+OR+%22cease+operations%22&forms=8-K&dateRange=custom&startdt=2018-01-01&enddt=2024-12-31,LOW,LOW,CANDIDATE,"YMAB appears in the local biotech scanner universe; row is a category-specific EDGAR search target for BANKRUPTCY_OR_WIND_DOWN, not verified evidence",sa_or_distress_8k_url|wind_down_or_bankruptcy_8k_url|outcome_date|chapter_check|price_window,Generated from predictions_v12.csv. Candidate only. Do not promote without EDGAR/source_evidence verification.
CAND-0020-REVERSE_MERGER-ESPR,ESPR,"Esperion Therapeutics, Inc.",REVERSE_MERGER,2018-2024,EDGAR 8-K reverse merger and strategic alternatives follow-up search,https://efts.sec.gov/LATEST/search-index,https://efts.sec.gov/LATEST/search-index?q=ESPR+%22Esperion+Therapeutics%2C+Inc.%22+%22strategic+alternatives%22+%22reverse+merger%22&forms=8-K&dateRange=custom&startdt=2018-01-01&enddt=2024-12-31,LOW,LOW,CANDIDATE,"ESPR appears in the local biotech scanner universe; row is a category-specific EDGAR search target for REVERSE_MERGER, not verified evidence",sa_8k_url|reverse_merger_8k_url|counterparty|deal_structure|outcome_date|price_window,Generated from predictions_v12.csv. Candidate only. Do not promote without EDGAR/source_evidence verification.
CAND-0021-COMPLETED_DEAL-AKRO,AKRO,"Akero Therapeutics, Inc.",COMPLETED_DEAL,2018-2024,BioPharma Dive M&A tracker; Biotechgate M&A archives; EDGAR 8-K merger agreement search,https://www.biopharmadive.com/news/biotech-pharma-deals-merger-acquisitions-tracker/604262/,https://efts.sec.gov/LATEST/search-index?q=AKRO+%22Akero+Therapeutics%2C+Inc.%22+%22agreement+and+plan+of+merger%22+%22per+share%22&forms=8-K&dateRange=custom&startdt=2018-01-01&enddt=2024-12-31,LOW,LOW,CANDIDATE,"AKRO appears in the local biotech scanner universe; row is a category-specific EDGAR search target for COMPLETED_DEAL, not verified evidence",merger_8k_url|merger_filing_date|deal_date|deal_price_per_share|acquirer|prior_process_signal_search|price_window,Generated from predictions_v12.csv. Candidate only. Do not promote without EDGAR/source_evidence verification.
CAND-0022-COMPLETED_DEAL-INZY,INZY,"Inozyme Pharma, Inc.",COMPLETED_DEAL,2018-2024,BioPharma Dive M&A tracker; Biotechgate M&A archives; EDGAR 8-K merger agreement search,https://www.biopharmadive.com/news/biotech-pharma-deals-merger-acquisitions-tracker/604262/,https://efts.sec.gov/LATEST/search-index?q=INZY+%22Inozyme+Pharma%2C+Inc.%22+%22agreement+and+plan+of+merger%22+%22per+share%22&forms=8-K&dateRange=custom&startdt=2018-01-01&enddt=2024-12-31,LOW,MED,CANDIDATE,"INZY appears in the local biotech scanner universe; row is a category-specific EDGAR search target for COMPLETED_DEAL, not verified evidence",merger_8k_url|merger_filing_date|deal_date|deal_price_per_share|acquirer|prior_process_signal_search|price_window,Generated from predictions_v12.csv. Candidate only. Do not promote without EDGAR/source_evidence verification.
CAND-0023-ACTIVIST_13D_NO_DEAL-ADMA,ADMA,"ADMA Biologics, Inc.",ACTIVIST_13D_NO_DEAL,2018-2024,EDGAR SC 13D search; WhaleWisdom / 13D Monitor cross-check; source_queries.md Section 1B,https://www.sec.gov/edgar/search/,https://efts.sec.gov/LATEST/search-index?q=ADMA+%22ADMA+Biologics%2C+Inc.%22+%22Item+4%22+%22board+representation%22&forms=SC+13D%2CSC+13D%2FA&dateRange=custom&startdt=2018-01-01&enddt=2024-12-31,LOW,LOW,CANDIDATE,"ADMA appears in the local biotech scanner universe; row is a category-specific EDGAR search target for ACTIVIST_13D_NO_DEAL, not verified evidence",initial_13d_url|filing_date|activist_filer|item4_text|item4_intent|outcome_check|price_window,Generated from predictions_v12.csv. Candidate only. Do not promote without EDGAR/source_evidence verification.
CAND-0024-SALE_PRESSURE_13D-ALKS,ALKS,Alkermes plc,SALE_PRESSURE_13D,2018-2024,EDGAR SC 13D Item 4 sale-process phrase search; source_queries.md Section 1B,https://www.sec.gov/edgar/search/,https://efts.sec.gov/LATEST/search-index?q=ALKS+%22Alkermes+plc%22+%22Item+4%22+%22sale+of+the+company%22&forms=SC+13D%2CSC+13D%2FA&dateRange=custom&startdt=2018-01-01&enddt=2024-12-31,LOW,LOW,CANDIDATE,"ALKS appears in the local biotech scanner universe; row is a category-specific EDGAR search target for SALE_PRESSURE_13D, not verified evidence",initial_13d_url|filing_date|activist_filer|item4_text|sale_pressure_excerpt|outcome_check|price_window,Generated from predictions_v12.csv. Candidate only. Do not promote without EDGAR/source_evidence verification.
CAND-0025-GOVERNANCE_ONLY_13D-ALVO,ALVO,Alvotech,GOVERNANCE_ONLY_13D,2018-2024,EDGAR SC 13D Item 4 governance phrase search; item4_parser governance-only calibration queue,https://www.sec.gov/edgar/search/,https://efts.sec.gov/LATEST/search-index?q=ALVO+%22Alvotech%22+%22Item+4%22+%22board+of+directors%22+%22governance%22&forms=SC+13D%2CSC+13D%2FA&dateRange=custom&startdt=2018-01-01&enddt=2024-12-31,LOW,LOW,CANDIDATE,"ALVO appears in the local biotech scanner universe; row is a category-specific EDGAR search target for GOVERNANCE_ONLY_13D, not verified evidence",initial_13d_url|filing_date|activist_filer|item4_text|governance_only_classification|outcome_check,Generated from predictions_v12.csv. Candidate only. Do not promote without EDGAR/source_evidence verification.
CAND-0026-ROFR_ROFN_CASE-AMPH,AMPH,"Amphastar Pharmaceuticals, Inc.",ROFR_ROFN_CASE,2018-2024,EDGAR 8-K and 10-K ROFR/ROFN search; source_queries.md Section 1C,https://efts.sec.gov/LATEST/search-index,https://efts.sec.gov/LATEST/search-index?q=AMPH+%22Amphastar+Pharmaceuticals%2C+Inc.%22+%22right+of+first+refusal%22+OR+%22right+of+first+negotiation%22&forms=8-K%2C10-K%2C10-Q&dateRange=custom&startdt=2018-01-01&enddt=2024-12-31,LOW,LOW,CANDIDATE,"AMPH appears in the local biotech scanner universe; row is a category-specific EDGAR search target for ROFR_ROFN_CASE, not verified evidence",agreement_8k_url|exhibit_url|observation_date|rights_holder|rofr_scope|excerpt|outcome_check|price_window,Generated from predictions_v12.csv. Candidate only. Do not promote without EDGAR/source_evidence verification.
CAND-0027-CAPITAL_RAISE_AFTER_PROCESS-ANIK,ANIK,"Anika Therapeutics, Inc.",CAPITAL_RAISE_AFTER_PROCESS,2018-2024,EDGAR 8-K/S-3 capital raise search after process language,https://www.sec.gov/edgar/search/,https://efts.sec.gov/LATEST/search-index?q=ANIK+%22Anika+Therapeutics%2C+Inc.%22+%22strategic+alternatives%22+%22registered+direct+offering%22&forms=8-K%2CS-3%2C424B5&dateRange=custom&startdt=2018-01-01&enddt=2024-12-31,LOW,MED,CANDIDATE,"ANIK appears in the local biotech scanner universe; row is a category-specific EDGAR search target for CAPITAL_RAISE_AFTER_PROCESS, not verified evidence",sa_or_process_8k_url|capital_raise_8k_or_s3_url|raise_date|raise_size|outcome_check|price_window,Generated from predictions_v12.csv. Candidate only. Do not promote without EDGAR/source_evidence verification.
CAND-0028-CAPITAL_RAISE_AFTER_PROCESS-ANIP,ANIP,"ANI Pharmaceuticals, Inc.",CAPITAL_RAISE_AFTER_PROCESS,2018-2024,EDGAR 8-K/S-3 capital raise search after process language,https://www.sec.gov/edgar/search/,https://efts.sec.gov/LATEST/search-index?q=ANIP+%22ANI+Pharmaceuticals%2C+Inc.%22+%22strategic+alternatives%22+%22registered+direct+offering%22&forms=8-K%2CS-3%2C424B5&dateRange=custom&startdt=2018-01-01&enddt=2024-12-31,LOW,LOW,CANDIDATE,"ANIP appears in the local biotech scanner universe; row is a category-specific EDGAR search target for CAPITAL_RAISE_AFTER_PROCESS, not verified evidence",sa_or_process_8k_url|capital_raise_8k_or_s3_url|raise_date|raise_size|outcome_check|price_window,Generated from predictions_v12.csv. Candidate only. Do not promote without EDGAR/source_evidence verification.
CAND-0029-BANKRUPTCY_OR_WIND_DOWN-ARCT,ARCT,Arcturus Therapeutics Holdings Inc.,BANKRUPTCY_OR_WIND_DOWN,2018-2024,EDGAR 8-K wind-down and bankruptcy search; source_queries.md Section 1D,https://efts.sec.gov/LATEST/search-index,https://efts.sec.gov/LATEST/search-index?q=ARCT+%22Arcturus+Therapeutics+Holdings+Inc.%22+%22wind+down%22+OR+%22chapter+11%22+OR+%22cease+operations%22&forms=8-K&dateRange=custom&startdt=2018-01-01&enddt=2024-12-31,LOW,LOW,CANDIDATE,"ARCT appears in the local biotech scanner universe; row is a category-specific EDGAR search target for BANKRUPTCY_OR_WIND_DOWN, not verified evidence",sa_or_distress_8k_url|wind_down_or_bankruptcy_8k_url|outcome_date|chapter_check|price_window,Generated from predictions_v12.csv. Candidate only. Do not promote without EDGAR/source_evidence verification.
CAND-0030-CAPITAL_RAISE_AFTER_PROCESS-AUTL,AUTL,Autolus Therapeutics plc,CAPITAL_RAISE_AFTER_PROCESS,2018-2024,EDGAR 8-K/S-3 capital raise search after process language,https://www.sec.gov/edgar/search/,https://efts.sec.gov/LATEST/search-index?q=AUTL+%22Autolus+Therapeutics+plc%22+%22strategic+alternatives%22+%22registered+direct+offering%22&forms=8-K%2CS-3%2C424B5&dateRange=custom&startdt=2018-01-01&enddt=2024-12-31,LOW,MED,CANDIDATE,"AUTL appears in the local biotech scanner universe; row is a category-specific EDGAR search target for CAPITAL_RAISE_AFTER_PROCESS, not verified evidence",sa_or_process_8k_url|capital_raise_8k_or_s3_url|raise_date|raise_size|outcome_check|price_window,Generated from predictions_v12.csv. Candidate only. Do not promote without EDGAR/source_evidence verification.
CAND-0031-CAPITAL_RAISE_AFTER_PROCESS-BCYC,BCYC,Bicycle Therapeutics plc,CAPITAL_RAISE_AFTER_PROCESS,2018-2024,EDGAR 8-K/S-3 capital raise search after process language,https://www.sec.gov/edgar/search/,https://efts.sec.gov/LATEST/search-index?q=BCYC+%22Bicycle+Therapeutics+plc%22+%22strategic+alternatives%22+%22registered+direct+offering%22&forms=8-K%2CS-3%2C424B5&dateRange=custom&startdt=2018-01-01&enddt=2024-12-31,LOW,MED,CANDIDATE,"BCYC appears in the local biotech scanner universe; row is a category-specific EDGAR search target for CAPITAL_RAISE_AFTER_PROCESS, not verified evidence",sa_or_process_8k_url|capital_raise_8k_or_s3_url|raise_date|raise_size|outcome_check|price_window,Generated from predictions_v12.csv. Candidate only. Do not promote without EDGAR/source_evidence verification.
CAND-0032-COMPLETED_DEAL-BHVN,BHVN,Biohaven Ltd.,COMPLETED_DEAL,2018-2024,BioPharma Dive M&A tracker; Biotechgate M&A archives; EDGAR 8-K merger agreement search,https://www.biopharmadive.com/news/biotech-pharma-deals-merger-acquisitions-tracker/604262/,https://efts.sec.gov/LATEST/search-index?q=BHVN+%22Biohaven+Ltd.%22+%22agreement+and+plan+of+merger%22+%22per+share%22&forms=8-K&dateRange=custom&startdt=2018-01-01&enddt=2024-12-31,LOW,MED,CANDIDATE,"BHVN appears in the local biotech scanner universe; row is a category-specific EDGAR search target for COMPLETED_DEAL, not verified evidence",merger_8k_url|merger_filing_date|deal_date|deal_price_per_share|acquirer|prior_process_signal_search|price_window,Generated from predictions_v12.csv. Candidate only. Do not promote without EDGAR/source_evidence verification.
CAND-0033-ACTIVIST_13D_NO_DEAL-CNMD,CNMD,CONMED Corporation,ACTIVIST_13D_NO_DEAL,2018-2024,EDGAR SC 13D search; WhaleWisdom / 13D Monitor cross-check; source_queries.md Section 1B,https://www.sec.gov/edgar/search/,https://efts.sec.gov/LATEST/search-index?q=CNMD+%22CONMED+Corporation%22+%22Item+4%22+%22board+representation%22&forms=SC+13D%2CSC+13D%2FA&dateRange=custom&startdt=2018-01-01&enddt=2024-12-31,LOW,LOW,CANDIDATE,"CNMD appears in the local biotech scanner universe; row is a category-specific EDGAR search target for ACTIVIST_13D_NO_DEAL, not verified evidence",initial_13d_url|filing_date|activist_filer|item4_text|item4_intent|outcome_check|price_window,Generated from predictions_v12.csv. Candidate only. Do not promote without EDGAR/source_evidence verification.
CAND-0034-SALE_PRESSURE_13D-COLL,COLL,"Collegium Pharmaceutical, Inc.",SALE_PRESSURE_13D,2018-2024,EDGAR SC 13D Item 4 sale-process phrase search; source_queries.md Section 1B,https://www.sec.gov/edgar/search/,https://efts.sec.gov/LATEST/search-index?q=COLL+%22Collegium+Pharmaceutical%2C+Inc.%22+%22Item+4%22+%22sale+of+the+company%22&forms=SC+13D%2CSC+13D%2FA&dateRange=custom&startdt=2018-01-01&enddt=2024-12-31,LOW,LOW,CANDIDATE,"COLL appears in the local biotech scanner universe; row is a category-specific EDGAR search target for SALE_PRESSURE_13D, not verified evidence",initial_13d_url|filing_date|activist_filer|item4_text|sale_pressure_excerpt|outcome_check|price_window,Generated from predictions_v12.csv. Candidate only. Do not promote without EDGAR/source_evidence verification.
CAND-0035-GOVERNANCE_ONLY_13D-DNLI,DNLI,Denali Therapeutics Inc.,GOVERNANCE_ONLY_13D,2018-2024,EDGAR SC 13D Item 4 governance phrase search; item4_parser governance-only calibration queue,https://www.sec.gov/edgar/search/,https://efts.sec.gov/LATEST/search-index?q=DNLI+%22Denali+Therapeutics+Inc.%22+%22Item+4%22+%22board+of+directors%22+%22governance%22&forms=SC+13D%2CSC+13D%2FA&dateRange=custom&startdt=2018-01-01&enddt=2024-12-31,LOW,LOW,CANDIDATE,"DNLI appears in the local biotech scanner universe; row is a category-specific EDGAR search target for GOVERNANCE_ONLY_13D, not verified evidence",initial_13d_url|filing_date|activist_filer|item4_text|governance_only_classification|outcome_check,Generated from predictions_v12.csv. Candidate only. Do not promote without EDGAR/source_evidence verification.
