ticker,company,category,likely_event_year,source_hint,priority,verification_status,notes
OVID,Ovid Therapeutics,FAILED_REVIEW,2022,EDGAR possible SA review; rare neurological disease; soticlestat ataluren adjacent,MED,CANDIDATE,Rare neurology. Check for SA 8-K and outcome.
PRVB,Provectus Biopharmaceuticals,FAILED_REVIEW,2020,EDGAR possible SA language; PV-10 melanoma; very small cap; governance issues,LOW,CANDIDATE,Very small cap and governance-challenged. Below target range. Include as reference.
AKER,Akers Biosciences,FAILED_REVIEW,2021,EDGAR or press release SA activity; diagnostics company; below target range likely,LOW,CANDIDATE,Diagnostics. Very small cap. Below target range.
SAGE,Sage Therapeutics,FAILED_REVIEW,2023,EDGAR possible SA announcement or strategic review language; Biogen collaboration; ZURZUVAE,HIGH,CANDIDATE,SAGE had significant strategic review activity and partnership with Biogen. Check for SA 8-K. Company still public.
NVAX,Novavax,FAILED_REVIEW,2023,EDGAR possible SA language after COVID vaccine commercial challenges; check,MED,CANDIDATE,COVID vaccine company. Post-COVID challenges. Check for SA 8-K. Over $1.5B range likely.
CRBU,Caribou Biosciences,ACTIVIST_NO_DEAL,2023,EDGAR possible activist or SA; CRISPR therapy; check for 13D or SA filing,LOW,CANDIDATE,Gene editing. Small cap. Check for any process signals.
GOSS,Gossamer Bio,FAILED_REVIEW,2023,EDGAR possible SA or wind-down language; pulmonary arterial hypertension seralutinib,MED,CANDIDATE,Small cap. Had pipeline setbacks. Check for SA announcement.
SANA,Sana Biotechnology,FAILED_REVIEW,2023,EDGAR possible SA announcement; cell engineering; significant cash burn,MED,CANDIDATE,Large cash burn gene therapy company. Check for any SA signals.
PRAX,Praxis Precision Medicine,FAILED_REVIEW,2023,EDGAR possible SA; neurology; check current status,LOW,CANDIDATE,Neurology startup. Check for SA or restructuring announcements.
KROS,Keros Therapeutics,COMPLETED_DEAL,2024,EDGAR possible acquisition 2024; TGF-beta biology; check for deal,MED,CANDIDATE,Hematology rare disease. Check for acquisition announcement 2024.
BBIO,BridgeBio Pharma,FAILED_REVIEW,2022,EDGAR or press release; pipeline failure acoramidis; strategic alternatives possible; check,MED,CANDIDATE,Large pipeline setbacks in 2022. Check for SA language. Over $1.5B range at peak.
SRRK,Scholar Rock,FAILED_REVIEW,2023,EDGAR possible SA; spinal muscular atrophy; check for process signals,LOW,CANDIDATE,Rare neurology. Small cap. Check for any SA or strategic signals.
PRLD,Prelude Therapeutics,FAILED_REVIEW,2023,EDGAR possible SA; hematology; WEE1 HIF-2 inhibitors; check,LOW,CANDIDATE,Small hematology company. Check for SA or restructuring.
BLUE,Bluebird Bio,FAILED_REVIEW,2022,EDGAR restructuring and strategic alternatives 2022; gene therapy hemoglobinopathy sickle cell,HIGH,CANDIDATE,Gene therapy. Announced strategic alternatives for commercial business 2022. Check SA 8-K. Company split into two entities. Good complex case.
AVEO,AVEO Oncology,COMPLETED_DEAL,2022,EDGAR 8-K LG Chem acquisition 2022; ~$640M; tivozanib renal cell carcinoma,HIGH,CANDIDATE,Korean pharma as acquirer — unusual. Confirm LG Chem deal value and date. Good small-cap oncology deal.
NDLS,Noodles? No wrong sector — exclude,,,,LOW,CANDIDATE,Non-biotech — exclude from dataset.
ATNX,Athenex,FAILED_REVIEW,2022,EDGAR possible SA or financial distress announcement; specialty pharma oncology,MED,CANDIDATE,Specialty oncology pharma. Had financial difficulties 2022-2023. Check for SA or restructuring.
SIGA,SIGA Technologies,ACTIVIST_GOVERNANCE_ONLY,2021,EDGAR governance activism; check Item 4,LOW,CANDIDATE,Duplicate entry — use single SIGA row.
HOOK,Hookipa Pharma,FAILED_REVIEW,2023,EDGAR possible SA or restructuring; arenavirus immunotherapy platform; small cap,LOW,CANDIDATE,Very small cap. Check for SA or restructuring announcement.
EVFM,Evofem Biosciences,FAILED_REVIEW,2022,EDGAR possible SA or wind-down; women's health; Phexxi,LOW,CANDIDATE,Small cap women's health. Check for SA or distress signals.
VKTX,Viking Therapeutics,FAILED_REVIEW,2024,EDGAR possible SA or; GLP-1 VK2809 VK0214; large run-up then consolidation; check,LOW,CANDIDATE,GLP-1/metabolic. Still public 2025. Speculative — check if any SA signals issued. Probably not applicable yet.
XOMA,XOMA Corporation,ACTIVIST_NO_DEAL,2020,EDGAR SC 13D or proxy; royalty biotech governance activism; no acquisition,LOW,CANDIDATE,Royalty/milestone company. Check for sale-pressure vs governance-only 13D.
TALS,Talaris Therapeutics,BANKRUPTCY,2023,EDGAR wind-down announcement 2023; renal transplant tolerance; failed Phase 3,HIGH,CANDIDATE,Gene/cell therapy. Wind-down 2023 after Phase 3 failure. Check for prior SA announcement.
AGEN,Agenus,FAILED_REVIEW,2022,EDGAR possible SA or restructuring; immuno-oncology checkpoint antibodies; check,MED,CANDIDATE,Immuno-oncology. Had pipeline partnership restructuring. Check for formal SA 8-K.
NLTX,Neoleukin Therapeutics,BANKRUPTCY,2023,EDGAR wind-down 2023; de novo protein design IL-2; failed pivot,MED,CANDIDATE,Protein design startup. Wind-down after platform failed. Small cap.
PRTA,Prothena Corporation,FAILED_REVIEW,2022,EDGAR possible SA or activist; neurology rare disease; over range likely,MED,CANDIDATE,Neurology/rare disease. Had significant pipeline uncertainty. Check for SA signals.
OTIC,Otonomy,BANKRUPTCY,2021,EDGAR wind-down 2021; ear disease OTO-104; below target range,MED,CANDIDATE,Ear disease biotech. Wound down 2021. Check for any prior SA or activist signal.
MGTX,MeiraGTx Holdings,FAILED_REVIEW,2023,EDGAR possible SA; ophthalmic gene therapy; small-mid cap; check,MED,CANDIDATE,Gene therapy ophthalmology. Check for SA signals or deal interest.
STRM,Streamline Health,ACTIVIST_GOVERNANCE_ONLY,2021,EDGAR proxy contest; health IT not biotech; exclude,LOW,CANDIDATE,Health IT — exclude from biotech dataset.
IDYA,IDEAYA Biosciences,ROFR_CASE,2022,EDGAR possible ROFR with GSK or BioAtla; check partnership 8-Ks for ROFR language,MED,CANDIDATE,Synthetic lethality oncology. Check for ROFR/ROFN in any partnership 8-Ks.
ANNX,Annexon Biosciences,FAILED_REVIEW,2023,EDGAR possible SA; neurology complement C1q inhibitor; check,MED,CANDIDATE,Small neurology biotech. Check for SA or restructuring.
LUNG,Pulmonx Corporation,ACTIVIST_NO_DEAL,2022,EDGAR SC 13D or proxy; medical devices adjacent; check,LOW,CANDIDATE,Medical devices — bronchial valves. Adjacent to biotech. Include as reference only.
BCAB,BioAtla,FAILED_REVIEW,2023,EDGAR possible SA or restructuring; conditional antibodies; check,MED,CANDIDATE,Small antibody-drug conjugate company. Check for SA announcement or deal interest.
IMVT,Immunovant,ROFR_CASE,2022,EDGAR 8-K ROIVANT collaboration; possible ROFR/ROFN from partner; check,LOW,CANDIDATE,FcRn inhibitor batoclimab. ROIVANT relationship may include deal rights. Check.
ENLV,Enliven Therapeutics,COMPLETED_DEAL,2023,EDGAR possible acquisition or merger; BCR-ABL oncology; check 2023-2024 status,LOW,CANDIDATE,BCR-ABL. Small cap. Check if acquired or if SA signals present.
SPRC,SciSparc,FAILED_REVIEW,2022,EDGAR possible SA; CNS rare disease; very small cap; below range,LOW,CANDIDATE,Very small cap. Below target range. Include for completeness as reference.
HGTY,Hagerty? No wrong sector,,,,LOW,CANDIDATE,Insurance — exclude.
RVMD,Revolution Medicines,ROFR_CASE,2022,EDGAR 8-K Sanofi collaboration with possible ROFR; RAS cancer; check scope,MED,CANDIDATE,RAS pathway oncology. Sanofi partnership may include deal rights. Check ROFR scope.
NTLA,Intellia Therapeutics,ROFR_CASE,2021,EDGAR 8-K AstraZeneca collaboration; possible ROFR/ROFN for specific programs; check scope,MED,CANDIDATE,CRISPR gene editing. AZ partnership 2021. Check for ROFR/ROFN language and scope.
RXRX,Recursion Pharmaceuticals,FAILED_REVIEW,2024,EDGAR possible SA after stock decline; AI drug discovery; over range by market cap,LOW,CANDIDATE,AI drug discovery. Likely over target range. Include as reference.
DMTK,DermTech,FAILED_REVIEW,2023,EDGAR possible SA or wind-down; melanoma genomics; check,MED,CANDIDATE,Genomic dermatology. Very small cap. Check for SA or restructuring.
RLAY,Relay Therapeutics,FAILED_REVIEW,2023,EDGAR restructuring or SA possible; allosteric oncology; check,MED,CANDIDATE,Allosteric oncology. Pipeline setbacks. Check for SA or restructuring.
ALDX,Aldeyra Therapeutics,FAILED_REVIEW,2023,EDGAR possible SA; metabolic disease RASP; check for process signals,LOW,CANDIDATE,Rare metabolic disease. Small cap. Check for SA announcement.
TPVG,TriplePoint Venture,ACTIVIST_NO_DEAL,2021,EDGAR proxy or 13D; BDC not biotech; exclude,LOW,CANDIDATE,BDC — exclude from dataset.
ADAP,Adaptimmune Therapeutics,FAILED_REVIEW,2023,EDGAR restructuring and possible SA; TCR-T cell therapy; UK-listed ADR,MED,CANDIDATE,Cell therapy. UK company on Nasdaq. Had major restructuring 2023 after Glaxo partnership ended. Check for SA language.
EPRT,Essential Properties? No wrong sector,,,,LOW,CANDIDATE,REIT — exclude.
MDWD,MedWise Health? No,,,,LOW,CANDIDATE,Exclude if non-biotech.
AVXL,Anavex Life Sciences,ACTIVIST_NO_DEAL,2022,EDGAR SC 13D or activist pressure; neurology sigma-1 receptor; small cap,LOW,CANDIDATE,Canadian biotech on Nasdaq. Check for activist 13D filing.
TBIO,Translate Bio,COMPLETED_DEAL,2021,EDGAR 8-K Sanofi deal 2021; ~$3.2B; mRNA platform; above range,LOW,CANDIDATE,Above $1.5B range at deal. Include as reference for mRNA platform acquisition pattern.
NVTA,Invitae,BANKRUPTCY,2024,EDGAR bankruptcy filing 2024; genetic testing; over range before decline,MED,CANDIDATE,Genetic testing — not pure drug biotech. Include as reference. Bankrupt 2024 after massive cash burn.
PRGO,Perrigo Company,ACTIVIST_NO_DEAL,2021,EDGAR SC 13D activist pressure; specialty pharma/OTC; check,LOW,CANDIDATE,Specialty pharma OTC. Activist pressure but mostly governance. Check Item 4.
GNSS,Genasys? No wrong sector,,,,LOW,CANDIDATE,Communication tech — exclude.
XNCR,Xencor,ROFR_CASE,2022,EDGAR 8-K Janssen or Alexion collaboration with possible ROFR; engineered antibodies; check,LOW,CANDIDATE,Antibody engineering. Check partnership 8-Ks for ROFR/ROFN language.
DARE,Dare Bioscience,FAILED_REVIEW,2023,EDGAR possible SA or restructuring; women's health; small cap,LOW,CANDIDATE,Women's health. Very small cap. Check for SA signals.
ACHC,Acadia Healthcare,ACTIVIST_NO_DEAL,2021,EDGAR SC 13D; behavioral health hospitals not pure biotech; exclude,LOW,CANDIDATE,Hospital operator — not biotech. Exclude from dataset.
