case_id,ticker,company_name,acquisition_announcement_date,possible_prior_signal,prior_signal_type,prior_signal_date,source_url_if_found,source_query_if_not_found,confidence,recommended_next_action,notes
RHC-0011-ACQUIRED-CLCD,CLCD,"CoLucid Pharmaceuticals, Inc.",,SEARCH_TARGET_ONLY,targeted public pre-announcement signal search,,,prior_process: https://efts.sec.gov/LATEST/search-index?q=CLCD+%22CoLucid+Pharmaceuticals%2C+Inc.%22+%22strategic+alternatives%22+OR+%22financial+advisor%22+OR+%22prior+outreach%22+OR+%22competing+bids%22+OR+%22Item+4%22+OR+%22right+of+first+refusal%22+OR+%22right+of+first+negotiation%22&forms=8-K%2C10-Q%2C10-K%2CSC+13D%2CSC+13D%2FA%2CDEFM14A%2CDEF+14A&dateRange=custom&startdt=2015-01-01&enddt=2017-12-31 || prior_13d: https://efts.sec.gov/LATEST/search-index?q=CLCD+%22CoLucid+Pharmaceuticals%2C+Inc.%22+%22Item+4%22+OR+%22strategic+alternatives%22+OR+%22maximize+shareholder+value%22&forms=SC+13D%2CSC+13D%2FA&dateRange=custom&startdt=2015-01-01&enddt=2017-12-31 || prior_rofr: https://efts.sec.gov/LATEST/search-index?q=CLCD+%22CoLucid+Pharmaceuticals%2C+Inc.%22+%22right+of+first+refusal%22+OR+%22right+of+first+negotiation%22+OR+%22option+to+acquire%22&forms=8-K%2C10-K%2C10-Q%2CEX-10&dateRange=custom&startdt=2015-01-01&enddt=2017-12-31,LOW,"Start with merger proxy or Schedule 14D-9 background, then run targeted pre-announcement EDGAR searches.",No local source-backed prior public signal found yet. Search target generated only.
RHC-0012-ACQUIRED-DMTX,DMTX,"Dimension Therapeutics, Inc.",,SEARCH_TARGET_ONLY,targeted public pre-announcement signal search,,,prior_process: https://efts.sec.gov/LATEST/search-index?q=DMTX+%22Dimension+Therapeutics%2C+Inc.%22+%22strategic+alternatives%22+OR+%22financial+advisor%22+OR+%22prior+outreach%22+OR+%22competing+bids%22+OR+%22Item+4%22+OR+%22right+of+first+refusal%22+OR+%22right+of+first+negotiation%22&forms=8-K%2C10-Q%2C10-K%2CSC+13D%2CSC+13D%2FA%2CDEFM14A%2CDEF+14A&dateRange=custom&startdt=2015-01-01&enddt=2017-12-31 || prior_13d: https://efts.sec.gov/LATEST/search-index?q=DMTX+%22Dimension+Therapeutics%2C+Inc.%22+%22Item+4%22+OR+%22strategic+alternatives%22+OR+%22maximize+shareholder+value%22&forms=SC+13D%2CSC+13D%2FA&dateRange=custom&startdt=2015-01-01&enddt=2017-12-31 || prior_rofr: https://efts.sec.gov/LATEST/search-index?q=DMTX+%22Dimension+Therapeutics%2C+Inc.%22+%22right+of+first+refusal%22+OR+%22right+of+first+negotiation%22+OR+%22option+to+acquire%22&forms=8-K%2C10-K%2C10-Q%2CEX-10&dateRange=custom&startdt=2015-01-01&enddt=2017-12-31,LOW,"Start with merger proxy or Schedule 14D-9 background, then run targeted pre-announcement EDGAR searches.",No local source-backed prior public signal found yet. Search target generated only.
RHC-0013-ACQUIRED-KITE,KITE,"Kite Pharma, Inc.",2017-08-28,NO_LOCAL_PRIOR_SIGNAL_FOUND,none found,,,prior_process: https://efts.sec.gov/LATEST/search-index?q=KITE+%22Kite+Pharma%2C+Inc.%22+%22strategic+alternatives%22+OR+%22financial+advisor%22+OR+%22prior+outreach%22+OR+%22competing+bids%22+OR+%22Item+4%22+OR+%22right+of+first+refusal%22+OR+%22right+of+first+negotiation%22&forms=8-K%2C10-Q%2C10-K%2CSC+13D%2CSC+13D%2FA%2CDEFM14A%2CDEF+14A&dateRange=custom&startdt=2015-01-01&enddt=2017-12-31 || prior_13d: https://efts.sec.gov/LATEST/search-index?q=KITE+%22Kite+Pharma%2C+Inc.%22+%22Item+4%22+OR+%22strategic+alternatives%22+OR+%22maximize+shareholder+value%22&forms=SC+13D%2CSC+13D%2FA&dateRange=custom&startdt=2015-01-01&enddt=2017-12-31 || prior_rofr: https://efts.sec.gov/LATEST/search-index?q=KITE+%22Kite+Pharma%2C+Inc.%22+%22right+of+first+refusal%22+OR+%22right+of+first+negotiation%22+OR+%22option+to+acquire%22&forms=8-K%2C10-K%2C10-Q%2CEX-10&dateRange=custom&startdt=2015-01-01&enddt=2017-12-31,LOW,Run targeted pre-announcement EDGAR searches and record manual no-hit evidence before treating acquisition announcement as first public signal.,"No source-backed public pre-announcement process signal was found in the available background excerpt. Private negotiations disclosed after announcement are not used as observation dates, so default to the acquisition announcement date pending manual no-hit confirmation."
RHC-0014-ACQUIRED-AVXS,AVXS,"AveXis, Inc.",,SEARCH_TARGET_ONLY,targeted public pre-announcement signal search,,,prior_process: https://efts.sec.gov/LATEST/search-index?q=AVXS+%22AveXis%2C+Inc.%22+%22strategic+alternatives%22+OR+%22financial+advisor%22+OR+%22prior+outreach%22+OR+%22competing+bids%22+OR+%22Item+4%22+OR+%22right+of+first+refusal%22+OR+%22right+of+first+negotiation%22&forms=8-K%2C10-Q%2C10-K%2CSC+13D%2CSC+13D%2FA%2CDEFM14A%2CDEF+14A&dateRange=custom&startdt=2015-01-01&enddt=2018-12-31 || prior_13d: https://efts.sec.gov/LATEST/search-index?q=AVXS+%22AveXis%2C+Inc.%22+%22Item+4%22+OR+%22strategic+alternatives%22+OR+%22maximize+shareholder+value%22&forms=SC+13D%2CSC+13D%2FA&dateRange=custom&startdt=2015-01-01&enddt=2018-12-31 || prior_rofr: https://efts.sec.gov/LATEST/search-index?q=AVXS+%22AveXis%2C+Inc.%22+%22right+of+first+refusal%22+OR+%22right+of+first+negotiation%22+OR+%22option+to+acquire%22&forms=8-K%2C10-K%2C10-Q%2CEX-10&dateRange=custom&startdt=2015-01-01&enddt=2018-12-31,LOW,"Start with merger proxy or Schedule 14D-9 background, then run targeted pre-announcement EDGAR searches.",No local source-backed prior public signal found yet. Search target generated only.
RHC-0015-ACQUIRED-BIVV,BIVV,Bioverativ Inc.,2018-01-22,NO_LOCAL_PRIOR_SIGNAL_FOUND,none found,,,prior_process: https://efts.sec.gov/LATEST/search-index?q=BIVV+%22Bioverativ+Inc.%22+%22strategic+alternatives%22+OR+%22financial+advisor%22+OR+%22prior+outreach%22+OR+%22competing+bids%22+OR+%22Item+4%22+OR+%22right+of+first+refusal%22+OR+%22right+of+first+negotiation%22&forms=8-K%2C10-Q%2C10-K%2CSC+13D%2CSC+13D%2FA%2CDEFM14A%2CDEF+14A&dateRange=custom&startdt=2015-01-01&enddt=2018-12-31 || prior_13d: https://efts.sec.gov/LATEST/search-index?q=BIVV+%22Bioverativ+Inc.%22+%22Item+4%22+OR+%22strategic+alternatives%22+OR+%22maximize+shareholder+value%22&forms=SC+13D%2CSC+13D%2FA&dateRange=custom&startdt=2015-01-01&enddt=2018-12-31 || prior_rofr: https://efts.sec.gov/LATEST/search-index?q=BIVV+%22Bioverativ+Inc.%22+%22right+of+first+refusal%22+OR+%22right+of+first+negotiation%22+OR+%22option+to+acquire%22&forms=8-K%2C10-K%2C10-Q%2CEX-10&dateRange=custom&startdt=2015-01-01&enddt=2018-12-31,LOW,Run targeted pre-announcement EDGAR searches and record manual no-hit evidence before treating acquisition announcement as first public signal.,"No source-backed public pre-announcement process signal was found in the available background excerpt. Private negotiations disclosed after announcement are not used as observation dates, so default to the acquisition announcement date pending manual no-hit confirmation."
RHC-0016-ACQUIRED-CASC,CASC,"Cascadian Therapeutics, Inc.",,SEARCH_TARGET_ONLY,targeted public pre-announcement signal search,,,prior_process: https://efts.sec.gov/LATEST/search-index?q=CASC+%22Cascadian+Therapeutics%2C+Inc.%22+%22strategic+alternatives%22+OR+%22financial+advisor%22+OR+%22prior+outreach%22+OR+%22competing+bids%22+OR+%22Item+4%22+OR+%22right+of+first+refusal%22+OR+%22right+of+first+negotiation%22&forms=8-K%2C10-Q%2C10-K%2CSC+13D%2CSC+13D%2FA%2CDEFM14A%2CDEF+14A&dateRange=custom&startdt=2015-01-01&enddt=2018-12-31 || prior_13d: https://efts.sec.gov/LATEST/search-index?q=CASC+%22Cascadian+Therapeutics%2C+Inc.%22+%22Item+4%22+OR+%22strategic+alternatives%22+OR+%22maximize+shareholder+value%22&forms=SC+13D%2CSC+13D%2FA&dateRange=custom&startdt=2015-01-01&enddt=2018-12-31 || prior_rofr: https://efts.sec.gov/LATEST/search-index?q=CASC+%22Cascadian+Therapeutics%2C+Inc.%22+%22right+of+first+refusal%22+OR+%22right+of+first+negotiation%22+OR+%22option+to+acquire%22&forms=8-K%2C10-K%2C10-Q%2CEX-10&dateRange=custom&startdt=2015-01-01&enddt=2018-12-31,LOW,"Start with merger proxy or Schedule 14D-9 background, then run targeted pre-announcement EDGAR searches.",No local source-backed prior public signal found yet. Search target generated only.
RHC-0017-ACQUIRED-JUNO,JUNO,"Juno Therapeutics, Inc.",2018-01-22,NO_LOCAL_PRIOR_SIGNAL_FOUND,none found,,,prior_process: https://efts.sec.gov/LATEST/search-index?q=JUNO+%22Juno+Therapeutics%2C+Inc.%22+%22strategic+alternatives%22+OR+%22financial+advisor%22+OR+%22prior+outreach%22+OR+%22competing+bids%22+OR+%22Item+4%22+OR+%22right+of+first+refusal%22+OR+%22right+of+first+negotiation%22&forms=8-K%2C10-Q%2C10-K%2CSC+13D%2CSC+13D%2FA%2CDEFM14A%2CDEF+14A&dateRange=custom&startdt=2015-01-01&enddt=2018-12-31 || prior_13d: https://efts.sec.gov/LATEST/search-index?q=JUNO+%22Juno+Therapeutics%2C+Inc.%22+%22Item+4%22+OR+%22strategic+alternatives%22+OR+%22maximize+shareholder+value%22&forms=SC+13D%2CSC+13D%2FA&dateRange=custom&startdt=2015-01-01&enddt=2018-12-31 || prior_rofr: https://efts.sec.gov/LATEST/search-index?q=JUNO+%22Juno+Therapeutics%2C+Inc.%22+%22right+of+first+refusal%22+OR+%22right+of+first+negotiation%22+OR+%22option+to+acquire%22&forms=8-K%2C10-K%2C10-Q%2CEX-10&dateRange=custom&startdt=2015-01-01&enddt=2018-12-31,LOW,Run targeted pre-announcement EDGAR searches and record manual no-hit evidence before treating acquisition announcement as first public signal.,"No source-backed public pre-announcement process signal was found in the available background excerpt. Private negotiations disclosed after announcement are not used as observation dates, so default to the acquisition announcement date pending manual no-hit confirmation."
RHC-0018-ACQUIRED-RXDX,RXDX,"Ignyta, Inc.",,SEARCH_TARGET_ONLY,targeted public pre-announcement signal search,,,prior_process: https://efts.sec.gov/LATEST/search-index?q=RXDX+%22Ignyta%2C+Inc.%22+%22strategic+alternatives%22+OR+%22financial+advisor%22+OR+%22prior+outreach%22+OR+%22competing+bids%22+OR+%22Item+4%22+OR+%22right+of+first+refusal%22+OR+%22right+of+first+negotiation%22&forms=8-K%2C10-Q%2C10-K%2CSC+13D%2CSC+13D%2FA%2CDEFM14A%2CDEF+14A&dateRange=custom&startdt=2015-01-01&enddt=2018-12-31 || prior_13d: https://efts.sec.gov/LATEST/search-index?q=RXDX+%22Ignyta%2C+Inc.%22+%22Item+4%22+OR+%22strategic+alternatives%22+OR+%22maximize+shareholder+value%22&forms=SC+13D%2CSC+13D%2FA&dateRange=custom&startdt=2015-01-01&enddt=2018-12-31 || prior_rofr: https://efts.sec.gov/LATEST/search-index?q=RXDX+%22Ignyta%2C+Inc.%22+%22right+of+first+refusal%22+OR+%22right+of+first+negotiation%22+OR+%22option+to+acquire%22&forms=8-K%2C10-K%2C10-Q%2CEX-10&dateRange=custom&startdt=2015-01-01&enddt=2018-12-31,LOW,"Start with merger proxy or Schedule 14D-9 background, then run targeted pre-announcement EDGAR searches.",No local source-backed prior public signal found yet. Search target generated only.
RHC-0019-ACQUIRED-ALDR,ALDR,Alder BioPharmaceuticals,,SEARCH_TARGET_ONLY,targeted public pre-announcement signal search,,,prior_process: https://efts.sec.gov/LATEST/search-index?q=ALDR+%22Alder+BioPharmaceuticals%22+%22strategic+alternatives%22+OR+%22financial+advisor%22+OR+%22prior+outreach%22+OR+%22competing+bids%22+OR+%22Item+4%22+OR+%22right+of+first+refusal%22+OR+%22right+of+first+negotiation%22&forms=8-K%2C10-Q%2C10-K%2CSC+13D%2CSC+13D%2FA%2CDEFM14A%2CDEF+14A&dateRange=custom&startdt=2016-01-01&enddt=2019-12-31 || prior_13d: https://efts.sec.gov/LATEST/search-index?q=ALDR+%22Alder+BioPharmaceuticals%22+%22Item+4%22+OR+%22strategic+alternatives%22+OR+%22maximize+shareholder+value%22&forms=SC+13D%2CSC+13D%2FA&dateRange=custom&startdt=2016-01-01&enddt=2019-12-31 || prior_rofr: https://efts.sec.gov/LATEST/search-index?q=ALDR+%22Alder+BioPharmaceuticals%22+%22right+of+first+refusal%22+OR+%22right+of+first+negotiation%22+OR+%22option+to+acquire%22&forms=8-K%2C10-K%2C10-Q%2CEX-10&dateRange=custom&startdt=2016-01-01&enddt=2019-12-31,LOW,"Start with merger proxy or Schedule 14D-9 background, then run targeted pre-announcement EDGAR searches.",No local source-backed prior public signal found yet. Search target generated only.
RHC-0020-ACQUIRED-ARRY,ARRY,Array BioPharma Inc.,,SEARCH_TARGET_ONLY,targeted public pre-announcement signal search,,,prior_process: https://efts.sec.gov/LATEST/search-index?q=ARRY+%22Array+BioPharma+Inc.%22+%22strategic+alternatives%22+OR+%22financial+advisor%22+OR+%22prior+outreach%22+OR+%22competing+bids%22+OR+%22Item+4%22+OR+%22right+of+first+refusal%22+OR+%22right+of+first+negotiation%22&forms=8-K%2C10-Q%2C10-K%2CSC+13D%2CSC+13D%2FA%2CDEFM14A%2CDEF+14A&dateRange=custom&startdt=2016-01-01&enddt=2019-12-31 || prior_13d: https://efts.sec.gov/LATEST/search-index?q=ARRY+%22Array+BioPharma+Inc.%22+%22Item+4%22+OR+%22strategic+alternatives%22+OR+%22maximize+shareholder+value%22&forms=SC+13D%2CSC+13D%2FA&dateRange=custom&startdt=2016-01-01&enddt=2019-12-31 || prior_rofr: https://efts.sec.gov/LATEST/search-index?q=ARRY+%22Array+BioPharma+Inc.%22+%22right+of+first+refusal%22+OR+%22right+of+first+negotiation%22+OR+%22option+to+acquire%22&forms=8-K%2C10-K%2C10-Q%2CEX-10&dateRange=custom&startdt=2016-01-01&enddt=2019-12-31,LOW,"Start with merger proxy or Schedule 14D-9 background, then run targeted pre-announcement EDGAR searches.",No local source-backed prior public signal found yet. Search target generated only.
RHC-0021-ACQUIRED-CMTA,CMTA,Clementia Pharmaceuticals Inc.,,SEARCH_TARGET_ONLY,targeted public pre-announcement signal search,,,prior_process: https://efts.sec.gov/LATEST/search-index?q=CMTA+%22Clementia+Pharmaceuticals+Inc.%22+%22strategic+alternatives%22+OR+%22financial+advisor%22+OR+%22prior+outreach%22+OR+%22competing+bids%22+OR+%22Item+4%22+OR+%22right+of+first+refusal%22+OR+%22right+of+first+negotiation%22&forms=8-K%2C10-Q%2C10-K%2CSC+13D%2CSC+13D%2FA%2CDEFM14A%2CDEF+14A&dateRange=custom&startdt=2016-01-01&enddt=2019-12-31 || prior_13d: https://efts.sec.gov/LATEST/search-index?q=CMTA+%22Clementia+Pharmaceuticals+Inc.%22+%22Item+4%22+OR+%22strategic+alternatives%22+OR+%22maximize+shareholder+value%22&forms=SC+13D%2CSC+13D%2FA&dateRange=custom&startdt=2016-01-01&enddt=2019-12-31 || prior_rofr: https://efts.sec.gov/LATEST/search-index?q=CMTA+%22Clementia+Pharmaceuticals+Inc.%22+%22right+of+first+refusal%22+OR+%22right+of+first+negotiation%22+OR+%22option+to+acquire%22&forms=8-K%2C10-K%2C10-Q%2CEX-10&dateRange=custom&startdt=2016-01-01&enddt=2019-12-31,LOW,"Start with merger proxy or Schedule 14D-9 background, then run targeted pre-announcement EDGAR searches.",No local source-backed prior public signal found yet. Search target generated only.
RHC-0022-ACQUIRED-LOXO,LOXO,"Loxo Oncology, Inc.",,SEARCH_TARGET_ONLY,targeted public pre-announcement signal search,,,prior_process: https://efts.sec.gov/LATEST/search-index?q=LOXO+%22Loxo+Oncology%2C+Inc.%22+%22strategic+alternatives%22+OR+%22financial+advisor%22+OR+%22prior+outreach%22+OR+%22competing+bids%22+OR+%22Item+4%22+OR+%22right+of+first+refusal%22+OR+%22right+of+first+negotiation%22&forms=8-K%2C10-Q%2C10-K%2CSC+13D%2CSC+13D%2FA%2CDEFM14A%2CDEF+14A&dateRange=custom&startdt=2016-01-01&enddt=2019-12-31 || prior_13d: https://efts.sec.gov/LATEST/search-index?q=LOXO+%22Loxo+Oncology%2C+Inc.%22+%22Item+4%22+OR+%22strategic+alternatives%22+OR+%22maximize+shareholder+value%22&forms=SC+13D%2CSC+13D%2FA&dateRange=custom&startdt=2016-01-01&enddt=2019-12-31 || prior_rofr: https://efts.sec.gov/LATEST/search-index?q=LOXO+%22Loxo+Oncology%2C+Inc.%22+%22right+of+first+refusal%22+OR+%22right+of+first+negotiation%22+OR+%22option+to+acquire%22&forms=8-K%2C10-K%2C10-Q%2CEX-10&dateRange=custom&startdt=2016-01-01&enddt=2019-12-31,LOW,"Start with merger proxy or Schedule 14D-9 background, then run targeted pre-announcement EDGAR searches.",No local source-backed prior public signal found yet. Search target generated only.
RHC-0023-ACQUIRED-NITE,NITE,Nightstar Therapeutics plc,,SEARCH_TARGET_ONLY,targeted public pre-announcement signal search,,,prior_process: https://efts.sec.gov/LATEST/search-index?q=NITE+%22Nightstar+Therapeutics+plc%22+%22strategic+alternatives%22+OR+%22financial+advisor%22+OR+%22prior+outreach%22+OR+%22competing+bids%22+OR+%22Item+4%22+OR+%22right+of+first+refusal%22+OR+%22right+of+first+negotiation%22&forms=8-K%2C10-Q%2C10-K%2CSC+13D%2CSC+13D%2FA%2CDEFM14A%2CDEF+14A&dateRange=custom&startdt=2016-01-01&enddt=2019-12-31 || prior_13d: https://efts.sec.gov/LATEST/search-index?q=NITE+%22Nightstar+Therapeutics+plc%22+%22Item+4%22+OR+%22strategic+alternatives%22+OR+%22maximize+shareholder+value%22&forms=SC+13D%2CSC+13D%2FA&dateRange=custom&startdt=2016-01-01&enddt=2019-12-31 || prior_rofr: https://efts.sec.gov/LATEST/search-index?q=NITE+%22Nightstar+Therapeutics+plc%22+%22right+of+first+refusal%22+OR+%22right+of+first+negotiation%22+OR+%22option+to+acquire%22&forms=8-K%2C10-K%2C10-Q%2CEX-10&dateRange=custom&startdt=2016-01-01&enddt=2019-12-31,LOW,"Start with merger proxy or Schedule 14D-9 background, then run targeted pre-announcement EDGAR searches.",No local source-backed prior public signal found yet. Search target generated only.
RHC-0024-ACQUIRED-ONCE,ONCE,"Spark Therapeutics, Inc.",,SEARCH_TARGET_ONLY,targeted public pre-announcement signal search,,,prior_process: https://efts.sec.gov/LATEST/search-index?q=ONCE+%22Spark+Therapeutics%2C+Inc.%22+%22strategic+alternatives%22+OR+%22financial+advisor%22+OR+%22prior+outreach%22+OR+%22competing+bids%22+OR+%22Item+4%22+OR+%22right+of+first+refusal%22+OR+%22right+of+first+negotiation%22&forms=8-K%2C10-Q%2C10-K%2CSC+13D%2CSC+13D%2FA%2CDEFM14A%2CDEF+14A&dateRange=custom&startdt=2016-01-01&enddt=2019-12-31 || prior_13d: https://efts.sec.gov/LATEST/search-index?q=ONCE+%22Spark+Therapeutics%2C+Inc.%22+%22Item+4%22+OR+%22strategic+alternatives%22+OR+%22maximize+shareholder+value%22&forms=SC+13D%2CSC+13D%2FA&dateRange=custom&startdt=2016-01-01&enddt=2019-12-31 || prior_rofr: https://efts.sec.gov/LATEST/search-index?q=ONCE+%22Spark+Therapeutics%2C+Inc.%22+%22right+of+first+refusal%22+OR+%22right+of+first+negotiation%22+OR+%22option+to+acquire%22&forms=8-K%2C10-K%2C10-Q%2CEX-10&dateRange=custom&startdt=2016-01-01&enddt=2019-12-31,LOW,"Start with merger proxy or Schedule 14D-9 background, then run targeted pre-announcement EDGAR searches.",No local source-backed prior public signal found yet. Search target generated only.
RHC-0025-ACQUIRED-TSRO,TSRO,"TESARO, Inc.",,SEARCH_TARGET_ONLY,targeted public pre-announcement signal search,,,prior_process: https://efts.sec.gov/LATEST/search-index?q=TSRO+%22TESARO%2C+Inc.%22+%22strategic+alternatives%22+OR+%22financial+advisor%22+OR+%22prior+outreach%22+OR+%22competing+bids%22+OR+%22Item+4%22+OR+%22right+of+first+refusal%22+OR+%22right+of+first+negotiation%22&forms=8-K%2C10-Q%2C10-K%2CSC+13D%2CSC+13D%2FA%2CDEFM14A%2CDEF+14A&dateRange=custom&startdt=2016-01-01&enddt=2019-12-31 || prior_13d: https://efts.sec.gov/LATEST/search-index?q=TSRO+%22TESARO%2C+Inc.%22+%22Item+4%22+OR+%22strategic+alternatives%22+OR+%22maximize+shareholder+value%22&forms=SC+13D%2CSC+13D%2FA&dateRange=custom&startdt=2016-01-01&enddt=2019-12-31 || prior_rofr: https://efts.sec.gov/LATEST/search-index?q=TSRO+%22TESARO%2C+Inc.%22+%22right+of+first+refusal%22+OR+%22right+of+first+negotiation%22+OR+%22option+to+acquire%22&forms=8-K%2C10-K%2C10-Q%2CEX-10&dateRange=custom&startdt=2016-01-01&enddt=2019-12-31,LOW,"Start with merger proxy or Schedule 14D-9 background, then run targeted pre-announcement EDGAR searches.",No local source-backed prior public signal found yet. Search target generated only.
RHC-0026-ACQUIRED-ACHN,ACHN,Achillion Pharmaceuticals,,SEARCH_TARGET_ONLY,targeted public pre-announcement signal search,,,prior_process: https://efts.sec.gov/LATEST/search-index?q=ACHN+%22Achillion+Pharmaceuticals%22+%22strategic+alternatives%22+OR+%22financial+advisor%22+OR+%22review+of+strategic+alternatives%22&forms=8-K%2C10-Q%2C10-K&dateRange=custom&startdt=2017-01-01&enddt=2020-12-31 || prior_13d: https://efts.sec.gov/LATEST/search-index?q=ACHN+%22Achillion+Pharmaceuticals%22+%22Item+4%22+OR+%22strategic+alternatives%22+OR+%22maximize+shareholder+value%22&forms=SC+13D%2CSC+13D%2FA&dateRange=custom&startdt=2017-01-01&enddt=2020-12-31 || prior_rofr: https://efts.sec.gov/LATEST/search-index?q=ACHN+%22Achillion+Pharmaceuticals%22+%22right+of+first+refusal%22+OR+%22right+of+first+negotiation%22+OR+%22option+to+acquire%22&forms=8-K%2C10-K%2C10-Q%2CEX-10&dateRange=custom&startdt=2017-01-01&enddt=2020-12-31,LOW,"Start with merger proxy or Schedule 14D-9 background, then run targeted pre-announcement EDGAR searches.",No local source-backed prior public signal found yet. Search target generated only.
RHC-0027-ACQUIRED-BOLD,BOLD,"Audentes Therapeutics, Inc.",,SEARCH_TARGET_ONLY,targeted public pre-announcement signal search,,,prior_process: https://efts.sec.gov/LATEST/search-index?q=BOLD+%22Audentes+Therapeutics%2C+Inc.%22+%22strategic+alternatives%22+OR+%22financial+advisor%22+OR+%22review+of+strategic+alternatives%22&forms=8-K%2C10-Q%2C10-K&dateRange=custom&startdt=2017-01-01&enddt=2020-12-31 || prior_13d: https://efts.sec.gov/LATEST/search-index?q=BOLD+%22Audentes+Therapeutics%2C+Inc.%22+%22Item+4%22+OR+%22strategic+alternatives%22+OR+%22maximize+shareholder+value%22&forms=SC+13D%2CSC+13D%2FA&dateRange=custom&startdt=2017-01-01&enddt=2020-12-31 || prior_rofr: https://efts.sec.gov/LATEST/search-index?q=BOLD+%22Audentes+Therapeutics%2C+Inc.%22+%22right+of+first+refusal%22+OR+%22right+of+first+negotiation%22+OR+%22option+to+acquire%22&forms=8-K%2C10-K%2C10-Q%2CEX-10&dateRange=custom&startdt=2017-01-01&enddt=2020-12-31,LOW,"Start with merger proxy or Schedule 14D-9 background, then run targeted pre-announcement EDGAR searches.",No local source-backed prior public signal found yet. Search target generated only.
RHC-0028-ACQUIRED-DERM,DERM,Dermira,,SEARCH_TARGET_ONLY,targeted public pre-announcement signal search,,,prior_process: https://efts.sec.gov/LATEST/search-index?q=DERM+%22Dermira%22+%22strategic+alternatives%22+OR+%22financial+advisor%22+OR+%22review+of+strategic+alternatives%22&forms=8-K%2C10-Q%2C10-K&dateRange=custom&startdt=2017-01-01&enddt=2020-12-31 || prior_13d: https://efts.sec.gov/LATEST/search-index?q=DERM+%22Dermira%22+%22Item+4%22+OR+%22strategic+alternatives%22+OR+%22maximize+shareholder+value%22&forms=SC+13D%2CSC+13D%2FA&dateRange=custom&startdt=2017-01-01&enddt=2020-12-31 || prior_rofr: https://efts.sec.gov/LATEST/search-index?q=DERM+%22Dermira%22+%22right+of+first+refusal%22+OR+%22right+of+first+negotiation%22+OR+%22option+to+acquire%22&forms=8-K%2C10-K%2C10-Q%2CEX-10&dateRange=custom&startdt=2017-01-01&enddt=2020-12-31,LOW,"Start with merger proxy or Schedule 14D-9 background, then run targeted pre-announcement EDGAR searches.",No local source-backed prior public signal found yet. Search target generated only.
RHC-0029-ACQUIRED-FTSV,FTSV,"Forty Seven, Inc.",,SEARCH_TARGET_ONLY,targeted public pre-announcement signal search,,,prior_process: https://efts.sec.gov/LATEST/search-index?q=FTSV+%22Forty+Seven%2C+Inc.%22+%22strategic+alternatives%22+OR+%22financial+advisor%22+OR+%22review+of+strategic+alternatives%22&forms=8-K%2C10-Q%2C10-K&dateRange=custom&startdt=2017-01-01&enddt=2020-12-31 || prior_13d: https://efts.sec.gov/LATEST/search-index?q=FTSV+%22Forty+Seven%2C+Inc.%22+%22Item+4%22+OR+%22strategic+alternatives%22+OR+%22maximize+shareholder+value%22&forms=SC+13D%2CSC+13D%2FA&dateRange=custom&startdt=2017-01-01&enddt=2020-12-31 || prior_rofr: https://efts.sec.gov/LATEST/search-index?q=FTSV+%22Forty+Seven%2C+Inc.%22+%22right+of+first+refusal%22+OR+%22right+of+first+negotiation%22+OR+%22option+to+acquire%22&forms=8-K%2C10-K%2C10-Q%2CEX-10&dateRange=custom&startdt=2017-01-01&enddt=2020-12-31,LOW,"Start with merger proxy or Schedule 14D-9 background, then run targeted pre-announcement EDGAR searches.",No local source-backed prior public signal found yet. Search target generated only.
RHC-0030-ACQUIRED-MNTA,MNTA,"Momenta Pharmaceuticals, Inc.",,SEARCH_TARGET_ONLY,targeted public pre-announcement signal search,,,prior_process: https://efts.sec.gov/LATEST/search-index?q=MNTA+%22Momenta+Pharmaceuticals%2C+Inc.%22+%22strategic+alternatives%22+OR+%22financial+advisor%22+OR+%22review+of+strategic+alternatives%22&forms=8-K%2C10-Q%2C10-K&dateRange=custom&startdt=2017-01-01&enddt=2020-12-31 || prior_13d: https://efts.sec.gov/LATEST/search-index?q=MNTA+%22Momenta+Pharmaceuticals%2C+Inc.%22+%22Item+4%22+OR+%22strategic+alternatives%22+OR+%22maximize+shareholder+value%22&forms=SC+13D%2CSC+13D%2FA&dateRange=custom&startdt=2017-01-01&enddt=2020-12-31 || prior_rofr: https://efts.sec.gov/LATEST/search-index?q=MNTA+%22Momenta+Pharmaceuticals%2C+Inc.%22+%22right+of+first+refusal%22+OR+%22right+of+first+negotiation%22+OR+%22option+to+acquire%22&forms=8-K%2C10-K%2C10-Q%2CEX-10&dateRange=custom&startdt=2017-01-01&enddt=2020-12-31,LOW,"Start with merger proxy or Schedule 14D-9 background, then run targeted pre-announcement EDGAR searches.",No local source-backed prior public signal found yet. Search target generated only.
