severity,priority_score,check_id,source_file,row_number,entity_id,field_name,message,detail
LOW,25,PLACEHOLDER_TOKEN,cases_seed.csv,15,PTGX-2022-001,price_at_signal,VERIFY_REQUIRED token in field that should eventually be concrete,
LOW,25,PLACEHOLDER_TOKEN,cases_seed.csv,16,INBX-2024-001,mcap_at_signal_M,VERIFY_REQUIRED token in field that should eventually be concrete,
LOW,25,PLACEHOLDER_TOKEN,cases_seed.csv,16,INBX-2024-001,price_at_signal,VERIFY_REQUIRED token in field that should eventually be concrete,
LOW,25,PLACEHOLDER_TOKEN,cases_seed.csv,16,INBX-2024-001,source_filing_url,VERIFY_REQUIRED token in field that should eventually be concrete,
LOW,25,PLACEHOLDER_TOKEN,cases_seed.csv,17,FLXN-2021-001,mcap_at_signal_M,VERIFY_REQUIRED token in field that should eventually be concrete,
LOW,25,PLACEHOLDER_TOKEN,cases_seed.csv,17,FLXN-2021-001,price_at_signal,VERIFY_REQUIRED token in field that should eventually be concrete,
LOW,25,PLACEHOLDER_TOKEN,cases_seed.csv,18,DOVA-2021-001,mcap_at_signal_M,VERIFY_REQUIRED token in field that should eventually be concrete,
LOW,25,PLACEHOLDER_TOKEN,cases_seed.csv,18,DOVA-2021-001,price_at_signal,VERIFY_REQUIRED token in field that should eventually be concrete,
INFO,0,UNDERREPRESENTED_CATEGORY,resolved_case_candidates.csv,aggregate,BANKRUPTCY,likely_outcome_type,Outcome category BANKRUPTCY is 1.5% of file (3 rows) — possible sampling gap,
INFO,0,UNDERREPRESENTED_CATEGORY,resolved_case_candidates.csv,aggregate,CAPITAL_RAISE_AFTER_PROCESS,likely_outcome_type,Outcome category CAPITAL_RAISE_AFTER_PROCESS is 1.5% of file (3 rows) — possible sampling gap,
