ticker,canonical_case_id,all_case_ids,issue_type,severity,finding,recommendation,fix_applied
JUNO,RHC-0017-ACQUIRED-JUNO,RHC-0017-ACQUIRED-JUNO,EVIDENCE_WITHOUT_ANNOUNCEMENT_DATE,MEDIUM,Active case has source_evidence row but no acquisition_announcement_dates row.,Report-only: not a case_id mismatch unless a date row exists under another case_id for this ticker.,NO
RXDX,RHC-0018-ACQUIRED-RXDX,RHC-0018-ACQUIRED-RXDX;RHC-0065-ACQUIRED-RXDX,ANNOUNCEMENT_DATE_WITHOUT_EVIDENCE,MEDIUM,Active case has announcement date row but no source_evidence row.,Report-only: not a case_id mismatch unless source evidence exists under another case_id for this ticker.,NO
ALDR,RHC-0019-ACQUIRED-ALDR,RHC-0019-ACQUIRED-ALDR,ANNOUNCEMENT_DATE_WITHOUT_EVIDENCE,MEDIUM,Active case has announcement date row but no source_evidence row.,Report-only: not a case_id mismatch unless source evidence exists under another case_id for this ticker.,NO
ARRY,RHC-0020-ACQUIRED-ARRY,RHC-0020-ACQUIRED-ARRY,ANNOUNCEMENT_DATE_WITHOUT_EVIDENCE,MEDIUM,Active case has announcement date row but no source_evidence row.,Report-only: not a case_id mismatch unless source evidence exists under another case_id for this ticker.,NO
CMTA,RHC-0021-ACQUIRED-CMTA,RHC-0021-ACQUIRED-CMTA,ANNOUNCEMENT_DATE_WITHOUT_EVIDENCE,MEDIUM,Active case has announcement date row but no source_evidence row.,Report-only: not a case_id mismatch unless source evidence exists under another case_id for this ticker.,NO
LOXO,RHC-0022-ACQUIRED-LOXO,RHC-0022-ACQUIRED-LOXO,ANNOUNCEMENT_DATE_WITHOUT_EVIDENCE,MEDIUM,Active case has announcement date row but no source_evidence row.,Report-only: not a case_id mismatch unless source evidence exists under another case_id for this ticker.,NO
NITE,RHC-0023-ACQUIRED-NITE,RHC-0023-ACQUIRED-NITE,ANNOUNCEMENT_DATE_WITHOUT_EVIDENCE,MEDIUM,Active case has announcement date row but no source_evidence row.,Report-only: not a case_id mismatch unless source evidence exists under another case_id for this ticker.,NO
ONCE,RHC-0024-ACQUIRED-ONCE,RHC-0024-ACQUIRED-ONCE,ANNOUNCEMENT_DATE_WITHOUT_EVIDENCE,MEDIUM,Active case has announcement date row but no source_evidence row.,Report-only: not a case_id mismatch unless source evidence exists under another case_id for this ticker.,NO
FTSV,RHC-0029-ACQUIRED-FTSV,RHC-0029-ACQUIRED-FTSV,ANNOUNCEMENT_DATE_WITHOUT_EVIDENCE,MEDIUM,Active case has announcement date row but no source_evidence row.,Report-only: not a case_id mismatch unless source evidence exists under another case_id for this ticker.,NO
MYOK,RHC-0031-ACQUIRED-MYOK,RHC-0031-ACQUIRED-MYOK,ANNOUNCEMENT_DATE_WITHOUT_EVIDENCE,MEDIUM,Active case has announcement date row but no source_evidence row.,Report-only: not a case_id mismatch unless source evidence exists under another case_id for this ticker.,NO
PRNB,RHC-0033-ACQUIRED-PRNB,RHC-0033-ACQUIRED-PRNB,ANNOUNCEMENT_DATE_WITHOUT_EVIDENCE,MEDIUM,Active case has announcement date row but no source_evidence row.,Report-only: not a case_id mismatch unless source evidence exists under another case_id for this ticker.,NO
ADMS,RHC-0035-ACQUIRED-ADMS,RHC-0035-ACQUIRED-ADMS,ANNOUNCEMENT_DATE_WITHOUT_EVIDENCE,MEDIUM,Active case has announcement date row but no source_evidence row.,Report-only: not a case_id mismatch unless source evidence exists under another case_id for this ticker.,NO
TRIL,RHC-0043-ACQUIRED-TRIL,RHC-0043-ACQUIRED-TRIL,ANNOUNCEMENT_DATE_WITHOUT_EVIDENCE,MEDIUM,Active case has announcement date row but no source_evidence row.,Report-only: not a case_id mismatch unless source evidence exists under another case_id for this ticker.,NO
XLRN,RHC-0045-ACQUIRED-XLRN,RHC-0045-ACQUIRED-XLRN,ANNOUNCEMENT_DATE_WITHOUT_EVIDENCE,MEDIUM,Active case has announcement date row but no source_evidence row.,Report-only: not a case_id mismatch unless source evidence exists under another case_id for this ticker.,NO
PTLA,RHC-0042-ACQUIRED-PTLA,RHC-0042-ACQUIRED-PTLA,ANNOUNCEMENT_DATE_WITHOUT_EVIDENCE,MEDIUM,Active case has announcement date row but no source_evidence row.,Report-only: not a case_id mismatch unless source evidence exists under another case_id for this ticker.,NO
