case_id,ticker,company_name,current_status,known_acquirer,likely_outcome_year,best_existing_source_hint,next_action
RHC-0037-ACQUIRED-DRNA,DRNA,"Dicerna Pharmaceuticals, Inc.",DATE_MISSING,Novo Nordisk,2021,resolved_case_candidates: Novo Nordisk acquisition; verify with merger 8-K and proxy,Backfill announcement date from merger 8-K; search DRNA + agreement plan merger 2021-01-01 to 2021-12-31
RHC-0038-ACQUIRED-FLXN,FLXN,Flexion Therapeutics,DATE_MISSING,Pacira BioSciences,2021,source_evidence.csv: 8-K acc 0001104659-21-124870 period 2021-10-11; Pacira BioSciences confirmed acquirer,Date confirmed from source_evidence 8-K; backfill acquisition_announcement_dates.csv as 2021-10-11
RHC-0039-ACQUIRED-FPRX,FPRX,"Five Prime Therapeutics, Inc.",DATE_MISSING,Amgen,2021,resolved_case_candidates: Amgen acquisition; verify with 8-K merger agreement and tender offer filings,Backfill announcement date from merger 8-K; search FPRX + agreement plan merger 2021-01-01 to 2021-12-31
RHC-0040-ACQUIRED-GWPH,GWPH,GW Pharmaceuticals plc,DATE_MISSING,Jazz Pharmaceuticals,2021,resolved_case_candidates: Jazz acquisition; verify with 8-K/6-K transaction filings and proxy/circular; foreign issuer,Backfill announcement date from 8-K or 6-K; foreign issuer may use 6-K not 8-K merger filing; search GWPH + agreement plan merger 2021-01-01 to 2021-12-31
RHC-0041-ACQUIRED-PAND,PAND,Pandion Therapeutics,DATE_MISSING,Merck,2021,resolved_case_candidates: EDGAR 8-K Merck deal Feb 2021; $1.85B; immunology autoimmune,Backfill announcement date from merger 8-K; search PAND + agreement plan merger 2021-01-01 to 2021-12-31
RHC-0042-ACQUIRED-PTLA,PTLA,Portola Pharmaceuticals,DATE_MISSING,Alexion Pharmaceuticals (per seed),2021,resolved_case_candidates: EDGAR 8-K Alexion deal 2021; ~$1.41B; andexanet alfa Andexxa; must verify — Portola had financial difficulties in 2020,Cannot confirm exact date from training knowledge; must open merger 8-K on EDGAR; search PTLA + agreement plan merger 2021-01-01 to 2021-12-31
RHC-0043-ACQUIRED-TRIL,TRIL,Trillium Therapeutics Inc.,DATE_MISSING,Pfizer,2021,resolved_case_candidates: Pfizer acquisition; verify with transaction 8-K/6-K and circular; foreign issuer (Canadian),Backfill announcement date from 8-K or SC TO; search TRIL + agreement plan merger 2021-01-01 to 2021-12-31
RHC-0044-ACQUIRED-VIE,VIE,"Viela Bio, Inc.",DATE_MISSING,Horizon Therapeutics,2021,resolved_case_candidates: Horizon acquisition; verify with 8-K merger agreement and tender offer filings,Backfill announcement date from merger 8-K; search VIE + agreement plan merger 2021-01-01 to 2021-12-31
RHC-0045-ACQUIRED-XLRN,XLRN,Acceleron Pharma Inc.,DATE_MISSING,Merck,2021,resolved_case_candidates: Merck acquisition; verify with merger 8-K and tender offer filings,Backfill announcement date from merger 8-K; search XLRN + agreement plan merger 2021-01-01 to 2021-12-31
RHC-0046-ACQUIRED-ATRS,ATRS,Antares Pharma,DATE_MISSING,Halozyme Therapeutics,2022,resolved_case_candidates: EDGAR 8-K Halozyme deal Apr 2022; ~$960M; auto-injector specialty pharma,Backfill announcement date from merger 8-K; search ATRS + agreement plan merger 2022-01-01 to 2022-12-31
RHC-0047-ACQUIRED-AVEO,AVEO,AVEO Oncology,DATE_MISSING,LG Chem,2022,resolved_case_candidates: EDGAR 8-K LG Chem acquisition 2022; ~$640M; tivozanib renal cell carcinoma,Backfill announcement date from merger 8-K; search AVEO + agreement plan merger 2022-01-01 to 2022-12-31
RHC-0048-ACQUIRED-BHVN,BHVN,Biohaven Pharmaceutical Holding Company Ltd.,DATE_MISSING,Pfizer,2022,resolved_case_candidates: Pfizer acquisition of Biohaven operating company; verify with 8-K/6-K and proxy filings,Backfill announcement date from 8-K; foreign issuer structure; search BHVN + agreement plan merger 2022-01-01 to 2022-12-31
RHC-0049-ACQUIRED-CCXI,CCXI,"ChemoCentryx, Inc.",DATE_MISSING,Amgen,2022,resolved_case_candidates: Amgen acquisition; verify with merger 8-K and proxy,Backfill announcement date from merger 8-K; search CCXI + agreement plan merger 2022-01-01 to 2022-12-31
RHC-0050-ACQUIRED-CMPI,CMPI,Checkmate Pharmaceuticals,DATE_MISSING,Pfizer,2022,resolved_case_candidates: EDGAR 8-K Pfizer deal Jan 2022; ~$2.1B; vidutolimod CpG-A TLR9,Backfill announcement date from merger 8-K; search CMPI + agreement plan merger 2022-01-01 to 2022-12-31
